SKU,Type,Parent,Name,Brand,Categories,Suggested image filename 1,Suggested image filename 2,Image upload status,Notes,Short description
JKSS-TT,variable,,TapeTech Premium Stainless Steel Joint Knife,TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-stainless-steel-joint-knife-JKSS-TT-01.webp,tapetech-tapetech-premium-stainless-steel-joint-knife-JKSS-TT-02.webp,,,"TapeTech Premium Stainless Steel Joint Knife (1""–6"") with ergonomic soft-grip handle and alloy hammer end. Maximum rust resistance and precision flex."
JKSS-TT-1,variation,JKSS-TT,"TapeTech Premium Stainless Steel Joint Knife - 1""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-stainless-steel-joint-knife-1-JKSS-TT-1-01.webp,tapetech-tapetech-premium-stainless-steel-joint-knife-1-JKSS-TT-1-02.webp,,,
JKSS-TT-2,variation,JKSS-TT,"TapeTech Premium Stainless Steel Joint Knife - 2""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-stainless-steel-joint-knife-2-JKSS-TT-2-01.webp,tapetech-tapetech-premium-stainless-steel-joint-knife-2-JKSS-TT-2-02.webp,,,
JKSS-TT-3,variation,JKSS-TT,"TapeTech Premium Stainless Steel Joint Knife - 3""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-stainless-steel-joint-knife-3-JKSS-TT-3-01.webp,tapetech-tapetech-premium-stainless-steel-joint-knife-3-JKSS-TT-3-02.webp,,,
JKSS-TT-4,variation,JKSS-TT,"TapeTech Premium Stainless Steel Joint Knife - 4""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-stainless-steel-joint-knife-4-JKSS-TT-4-01.webp,tapetech-tapetech-premium-stainless-steel-joint-knife-4-JKSS-TT-4-02.webp,,,
JKSS-TT-5,variation,JKSS-TT,"TapeTech Premium Stainless Steel Joint Knife - 5""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-stainless-steel-joint-knife-5-JKSS-TT-5-01.webp,tapetech-tapetech-premium-stainless-steel-joint-knife-5-JKSS-TT-5-02.webp,,,
JKSS-TT-6,variation,JKSS-TT,"TapeTech Premium Stainless Steel Joint Knife - 6""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-stainless-steel-joint-knife-6-JKSS-TT-6-01.webp,tapetech-tapetech-premium-stainless-steel-joint-knife-6-JKSS-TT-6-02.webp,,,
MAXXBOX-TT,variable,,TapeTech MAXXBOX®,TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-maxxbox-MAXXBOX-TT-01.webp,tapetech-tapetech-maxxbox-MAXXBOX-TT-02.webp,,,"High-capacity TapeTech MAXXBOX® (7""–12"") for efficient drywall finishing. Optimized capacity-to-weight ratio provides more mud for fill coats with less fatigue."
MAXXBOX-TT-7,variation,MAXXBOX-TT,"TapeTech MAXXBOX® - 7""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-maxxbox-7-MAXXBOX-TT-7-01.webp,tapetech-tapetech-maxxbox-7-MAXXBOX-TT-7-02.webp,,,
MAXXBOX-TT-10,variation,MAXXBOX-TT,"TapeTech MAXXBOX® - 10""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-maxxbox-10-MAXXBOX-TT-10-01.webp,tapetech-tapetech-maxxbox-10-MAXXBOX-TT-10-02.webp,,,
MAXXBOX-TT-12,variation,MAXXBOX-TT,"TapeTech MAXXBOX® - 12""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-maxxbox-12-MAXXBOX-TT-12-01.webp,tapetech-tapetech-maxxbox-12-MAXXBOX-TT-12-02.webp,,,
NS-TT,variable,,TapeTech EasyClean® Nail Spotter,TapeTech,Drywall Finishing Tools > TapeTech > Automatic Tapers,tapetech-tapetech-easyclean-nail-spotter-NS-TT-01.webp,tapetech-tapetech-easyclean-nail-spotter-NS-TT-02.webp,,,"Professional TapeTech EasyClean® Nail Spotter available in 2"" and 3"" sizes. Features a hardened steel skid plate and EasyClean® lid for efficient, one-pass fastener finishing."
NS-TT-2,variation,NS-TT,"TapeTech EasyClean® Nail Spotter - 2""",TapeTech,Drywall Finishing Tools > TapeTech > Automatic Tapers,tapetech-tapetech-easyclean-nail-spotter-2-NS-TT-2-01.webp,tapetech-tapetech-easyclean-nail-spotter-2-NS-TT-2-02.webp,,,
NS-TT-3,variation,NS-TT,"TapeTech EasyClean® Nail Spotter - 3""",TapeTech,Drywall Finishing Tools > TapeTech > Automatic Tapers,tapetech-tapetech-easyclean-nail-spotter-3-NS-TT-3-01.webp,tapetech-tapetech-easyclean-nail-spotter-3-NS-TT-3-02.webp,,,
TKBS-TT,variable,,TapeTech Premium Blue Steel Taping Knife,TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-blue-steel-taping-knife-TKBS-TT-01.webp,tapetech-tapetech-premium-blue-steel-taping-knife-TKBS-TT-02.webp,,,"Professional TapeTech Blue Steel Taping Knife (8""–14"") with ergonomic soft-grip and alloy hammer end. Features a precision-ground blade for superior flex."
TKBS-TT-8,variation,TKBS-TT,"TapeTech Premium Blue Steel Taping Knife - 8""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-blue-steel-taping-knife-8-TKBS-TT-8-01.webp,tapetech-tapetech-premium-blue-steel-taping-knife-8-TKBS-TT-8-02.webp,,,
TKBS-TT-10,variation,TKBS-TT,"TapeTech Premium Blue Steel Taping Knife - 10""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-blue-steel-taping-knife-10-TKBS-TT-10-01.webp,tapetech-tapetech-premium-blue-steel-taping-knife-10-TKBS-TT-10-02.webp,,,
TKBS-TT-12,variation,TKBS-TT,"TapeTech Premium Blue Steel Taping Knife - 12""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-blue-steel-taping-knife-12-TKBS-TT-12-01.webp,tapetech-tapetech-premium-blue-steel-taping-knife-12-TKBS-TT-12-02.webp,,,
TKBS-TT-14,variation,TKBS-TT,"TapeTech Premium Blue Steel Taping Knife - 14""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-blue-steel-taping-knife-14-TKBS-TT-14-01.webp,tapetech-tapetech-premium-blue-steel-taping-knife-14-TKBS-TT-14-02.webp,,,
TKSS-TT,variable,,TapeTech Premium Stainless Steel Taping Knife,TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-stainless-steel-taping-knife-TKSS-TT-01.webp,tapetech-tapetech-premium-stainless-steel-taping-knife-TKSS-TT-02.webp,,,"Professional TapeTech Stainless Steel Taping Knife (8""–14"") with maximum rust resistance, ergonomic soft-grip, and integrated alloy hammer end."
TKSS-TT-8,variation,TKSS-TT,"TapeTech Premium Stainless Steel Taping Knife - 8""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-stainless-steel-taping-knife-8-TKSS-TT-8-01.webp,tapetech-tapetech-premium-stainless-steel-taping-knife-8-TKSS-TT-8-02.webp,,,
TKSS-TT-10,variation,TKSS-TT,"TapeTech Premium Stainless Steel Taping Knife - 10""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-stainless-steel-taping-knife-10-TKSS-TT-10-01.webp,tapetech-tapetech-premium-stainless-steel-taping-knife-10-TKSS-TT-10-02.webp,,,
TKSS-TT-12,variation,TKSS-TT,"TapeTech Premium Stainless Steel Taping Knife - 12""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-stainless-steel-taping-knife-12-TKSS-TT-12-01.webp,tapetech-tapetech-premium-stainless-steel-taping-knife-12-TKSS-TT-12-02.webp,,,
TKSS-TT-14,variation,TKSS-TT,"TapeTech Premium Stainless Steel Taping Knife - 14""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-stainless-steel-taping-knife-14-TKSS-TT-14-01.webp,tapetech-tapetech-premium-stainless-steel-taping-knife-14-TKSS-TT-14-02.webp,,,
