SKU,Type,Name,image_count,exact,suffix,ambiguous_suffix,unmatched,recommended_images,unmatched_expected
CT35,simple,Columbia Taper Cap Reinforcing Tab,1,0,0,0,1,,columbia-taper-cap-reinforcing-tab-CT35-01.webp
CT36,simple,Columbia Taper Return Spring Tube,2,0,1,1,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/platinum-drywall-tools-36-compound-tube-PT-CT36-02.webp,columbia-taper-return-spring-tube-CT36-01.webp
CT37,simple,Columbia Taper Tube Holding Bracket Upper,2,0,0,0,2,,columbia-taper-tube-holding-bracket-upper-CT37-01.webp|columbia-taper-tube-holding-bracket-upper-CT37-02.webp
CT38,simple,Columbia Taper Tube Holding Bracket Lower,2,0,0,0,2,,columbia-taper-tube-holding-bracket-lower-CT38-01.webp|columbia-taper-tube-holding-bracket-lower-CT38-02.webp
CT39,simple,Columbia Taper Knife Return Spring,1,0,0,0,1,,columbia-taper-knife-return-spring-CT39-01.webp
CT41,simple,Columbia Taper Cutter Block,1,0,0,0,1,,columbia-taper-cutter-block-CT41-01.webp
CT43,simple,Columbia Taper Micro Chain,1,0,0,0,1,,columbia-taper-micro-chain-CT43-01.webp
CT45,simple,Columbia Taper Connecting Rod (Includes CT46 Stop),1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-taper-connecting-rod-includes-ct46-stop-CT45-01.webp,
CT47,simple,Columbia Taper Crimping Wheel,1,0,0,0,1,,columbia-taper-crimping-wheel-CT47-01.webp
CT48,simple,Columbia Taper Crimping Arm Left,2,0,0,0,2,,columbia-taper-crimping-arm-left-CT48-01.webp|columbia-taper-crimping-arm-left-CT48-02.webp
CT49,simple,Columbia Taper Crimping Arm Right,1,0,0,0,1,,columbia-taper-crimping-arm-right-CT49-01.webp
CT5,simple,Columbia Taper Right Wafer Bushing,1,0,0,0,1,,columbia-taper-right-wafer-bushing-CT5-01.webp
CT50,simple,Columbia Taper Crimping Wheel Bushing,2,0,0,0,2,,columbia-taper-crimping-wheel-bushing-CT50-01.webp|columbia-taper-crimping-wheel-bushing-CT50-02.webp
CT51,simple,Columbia Taper Spacer Bar,2,0,0,0,2,,columbia-taper-spacer-bar-CT51-01.webp|columbia-taper-spacer-bar-CT51-02.webp
CT53,simple,Columbia Taper Toe Kicker,1,0,0,0,1,,columbia-taper-toe-kicker-CT53-01.webp
CT57,simple,Columbia Taper Tape Advance Carriage,2,0,0,0,2,,columbia-taper-tape-advance-carriage-CT57-01.webp|columbia-taper-tape-advance-carriage-CT57-02.webp
CT58,simple,Columbia Taper Guide Rod Bushing,2,0,0,0,2,,columbia-taper-guide-rod-bushing-CT58-01.webp|columbia-taper-guide-rod-bushing-CT58-02.webp
CT6,simple,Columbia Taper Side Plate Right,1,0,0,0,1,,columbia-taper-side-plate-right-CT6-01.webp
CT64,simple,Columbia Taper Needle Return Shaft,2,0,0,0,2,,columbia-taper-needle-return-shaft-CT64-01.webp|columbia-taper-needle-return-shaft-CT64-02.webp
CT65,simple,Columbia Taper Needle Return Spring,2,0,0,0,2,,columbia-taper-needle-return-spring-CT65-01.webp|columbia-taper-needle-return-spring-CT65-02.webp
CT67,simple,Columbia Taper Ratchet Gear,1,0,0,0,1,,columbia-taper-ratchet-gear-CT67-01.webp
CT68,simple,Columbia Taper Hub,2,0,0,0,2,,columbia-taper-hub-CT68-01.webp|columbia-taper-hub-CT68-02.webp
CT6A,simple,Columbia Taper Side Plate Left,1,0,0,0,1,,columbia-taper-side-plate-left-CT6A-01.webp
CT7,simple,Columbia Taper Side Plate Support Left,2,0,0,0,2,,columbia-taper-side-plate-support-left-CT7-01.webp|columbia-taper-side-plate-support-left-CT7-02.webp
CT71,simple,Columbia Taper Drive Sprocket Small,2,0,0,0,2,,columbia-taper-drive-sprocket-small-CT71-01.webp|columbia-taper-drive-sprocket-small-CT71-02.webp
CT73,simple,Columbia Taper Cable Drum,1,0,0,0,1,,columbia-taper-cable-drum-CT73-01.webp
CT77,simple,Columbia Taper Drive Sprocket Large,1,0,0,0,1,,columbia-taper-drive-sprocket-large-CT77-01.webp
CT78,simple,Columbia Taper Drive Chain,2,0,0,0,2,,columbia-taper-drive-chain-CT78-01.webp|columbia-taper-drive-chain-CT78-02.webp
CT79,simple,Columbia Taper Hollow Shaft,1,0,0,0,1,,columbia-taper-hollow-shaft-CT79-01.webp
CT7A,simple,Columbia Taper Side Plate Hub,1,0,0,0,1,,columbia-taper-side-plate-hub-CT7A-01.webp
CT8,simple,Columbia Taper Side Plate Support Right,2,0,0,0,2,,columbia-taper-side-plate-support-right-CT8-01.webp|columbia-taper-side-plate-support-right-CT8-02.webp
CT81,simple,Columbia Taper Clutch Return Spring,2,0,0,0,2,,columbia-taper-clutch-return-spring-CT81-01.webp|columbia-taper-clutch-return-spring-CT81-02.webp
CT85,simple,Columbia Taper Clutch Release Shaft,2,0,0,0,2,,columbia-taper-clutch-release-shaft-CT85-01.webp|columbia-taper-clutch-release-shaft-CT85-02.webp
CT86,simple,Columbia Taper Toe Kicker Cable,1,0,0,0,1,,columbia-taper-toe-kicker-cable-CT86-01.webp
CT87A,simple,Columbia Taper Bracket Base,1,0,0,0,1,,columbia-taper-bracket-base-CT87A-01.webp
CT87CS,simple,Columbia Cover Plate Cork Seal,1,0,0,0,1,,columbia-cover-plate-cork-seal-CT87CS-01.webp
CT88,simple,Columbia Taper Clutch Release Rod,1,0,0,0,1,,columbia-taper-clutch-release-rod-CT88-01.webp
CT89,simple,Columbia Taper Release Rod Sleeve,1,0,0,0,1,,columbia-taper-release-rod-sleeve-CT89-01.webp
CT92,simple,Columbia Taper Release Clip,2,0,0,0,2,,columbia-taper-release-clip-CT92-01.webp|columbia-taper-release-clip-CT92-02.webp
CT92A,simple,Columbia Taper L Clip,1,0,0,0,1,,columbia-taper-l-clip-CT92A-01.webp
CT93,simple,Columbia Taper Mud Shut Off Lever Arm,1,0,0,0,1,,columbia-taper-mud-shut-off-lever-arm-CT93-01.webp
CT94,simple,Columbia Taper Mud Shut Off Upper Plate,2,0,0,0,2,,columbia-taper-mud-shut-off-upper-plate-CT94-01.webp|columbia-taper-mud-shut-off-upper-plate-CT94-02.webp
CT95,simple,Columbia Taper Control Valve,2,0,0,0,2,,columbia-taper-control-valve-CT95-01.webp|columbia-taper-control-valve-CT95-02.webp
CT96,simple,Columbia Taper Mud Shut Off Gasket,2,0,0,0,2,,columbia-taper-mud-shut-off-gasket-CT96-01.webp|columbia-taper-mud-shut-off-gasket-CT96-02.webp
CT97,simple,Columbia Taper Mud Supply Valve Body,1,0,0,0,1,,columbia-taper-mud-supply-valve-body-CT97-01.webp
CT98,simple,Columbia Taper Mud Supply Seal Plate,1,0,0,0,1,,columbia-taper-mud-supply-seal-plate-CT98-01.webp
CTA107,simple,Columbia Piston Assembly for Taper,1,0,0,0,1,,columbia-piston-assembly-for-taper-CTA107-01.webp
CTA13,simple,Columbia Taper Dog Base Bracket,1,0,0,0,1,,columbia-taper-dog-base-bracket-CTA13-01.webp
CTA41,simple,Columbia Taper Cutter Block Assembly,1,0,0,0,1,,columbia-taper-cutter-block-assembly-CTA41-01.webp
CTA59,simple,Columbia Taper Magnet,1,0,0,0,1,,columbia-taper-magnet-CTA59-01.webp
CTA84,simple,Columbia Cable Pulley Guide,1,0,0,0,1,,columbia-cable-pulley-guide-CTA84-01.webp
CTA87CL,simple,Columbia Cover Plate Assembly,1,0,0,0,1,,columbia-cover-plate-assembly-CTA87CL-01.webp
CTA99,simple,Columbia Removable Cover Plate Pin,1,0,0,0,1,,columbia-removable-cover-plate-pin-CTA99-01.webp
CTR1,simple,Columbia Taper Maintenance Kit,1,0,0,0,1,,columbia-taper-maintenance-kit-CTR1-01.webp
CTR42A,simple,Columbia Taper Blades Maintenance Kit,1,0,0,0,1,,columbia-taper-blades-maintenance-kit-CTR42A-01.webp
CTR72,simple,Columbia Taper Cables Kit-3 per pack,1,0,0,0,1,,columbia-taper-cables-kit-3-per-pack-CTR72-01.webp
DIRECTCORNERFLUSHER,simple,Direct Corner Flusher,3,0,0,0,3,,columbia-direct-corner-flusher-DIRECTCORNERFLUSHER-01.webp|columbia-direct-corner-flusher-DIRECTCORNERFLUSHER-02.webp|columbia-direct-corner-flusher-DIRECTCORNERFLUSHER-03.webp
FA201,simple,"Columbia 1/16"" X 3/8"" Split Pin",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-16-x-3-8-split-pin-FA201-01.webp,
FA208,simple,"Columbia 4-40 x 1/8"" Binder Slot",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-4-40-x-1-8-binder-slot-FA208-01.webp,
FA215,simple,Columbia 4-40 x 5/16 Binder Slot,1,0,0,0,1,,columbia-4-40-x-5-16-binder-slot-FA215-01.webp
FA220,simple,"Columbia 4-40 X 3/4"" Bind Head Screw",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-4-40-x-3-4-bind-head-screw-FA220-01.webp,
FA222,simple,"Columbia 5-40 X 3/8"" Bind Head Screw",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-5-40-x-3-8-bind-head-screw-FA222-01.webp,
FA224,simple,"Columbia 1/8"" X 3/8"" Split Pin",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-8-x-3-8-split-pin-FA224-01.webp,
FA225,simple,"Columbia 1/8"" X 3/8"" Special Washer",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-8-x-3-8-special-washer-FA225-01.webp,
FA231,simple,"Columbia #6 X 3/8"" Hex Bolt",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-6-x-3-8-hex-bolt-FA231-01.webp,
FA232,simple,Columbia 6-32 Hex Nut,1,0,0,0,1,,columbia-6-32-hex-nut-FA232-01.webp
FA234,simple,Columbia 6-32 Nyloc Jam Nut,1,0,0,0,1,,columbia-6-32-nyloc-jam-nut-FA234-01.webp
FA245,simple,"Columbia 6-32 X 1/2"" Fill. Head Screw",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-6-32-x-1-2-fill-head-screw-FA245-01.webp,
FA247,simple,"Columbia 6-32 X 5/8"" Hex Bolt",2,0,2,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-6-32-x-5-8-hex-bolt-FA247-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-6-32-x-5-8-hex-bolt-FA247-02.webp,
FA252,simple,Columbia #8 Star Washer,1,0,0,0,1,,columbia-8-star-washer-FA252-01.webp
FA253,simple,Columbia #8 Flat Washer,2,0,0,0,2,,columbia-8-flat-washer-FA253-01.webp|columbia-8-flat-washer-FA253-02.webp
FA256,simple,"Columbia 8-32 x 3/16"" Pan Slot SS Screw",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-8-32-x-3-16-pan-slot-ss-screw-FA256-01.webp,
FA261,simple,"Columbia 8-32 X 3/8"" Socket Hd Screw",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-8-32-x-3-8-socket-hd-screw-FA261-01.webp,
FA262,simple,"Columbia 8-32 X 1/2"" Socket Hd. Screw",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-8-32-x-1-2-socket-hd-screw-FA262-01.webp,
FA266,simple,"Columbia 8-32 X 1"" Flat Head Screw",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-8-32-x-1-flat-head-screw-FA266-01.webp,
FA267,simple,"Columbia 8-32 X 1/2"" Pan Head Screw",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-8-32-x-1-2-pan-head-screw-FA267-01.webp,
FA268,simple,Columbia #10 Flat Washer,1,0,0,0,1,,columbia-10-flat-washer-FA268-01.webp
FA270,simple,"Columbia #10 X 3/4"" Fender Washer",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-10-x-3-4-fender-washer-FA270-01.webp,
FA273,simple,"Columbia 10-24 X 1"" Hex Bolt",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-10-24-x-1-hex-bolt-FA273-01.webp,
FA274,simple,"Columbia 10-24 X 3/8"" Socket Hd Screw",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-10-24-x-3-8-socket-hd-screw-FA274-01.webp,
FA275,simple,"Columbia 10-24 X 3/4"" Hex Bolt",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-10-24-x-3-4-hex-bolt-FA275-01.webp,
FA276,simple,Columbia 10-24 X 7/8 Pan Head Screw,1,0,0,0,1,,columbia-10-24-x-7-8-pan-head-screw-FA276-01.webp
FA278,simple,Columbia #8 Belleville Washer,2,0,0,0,2,,columbia-8-belleville-washer-FA278-01.webp|columbia-8-belleville-washer-FA278-02.webp
FA279,simple,Columbia 10-24 X 1-1/4in Hex Bolt,1,0,0,0,1,,columbia-10-24-x-1-1-4in-hex-bolt-FA279-01.webp
FA280,simple,Columbia #10 Belleville Washer,2,0,0,0,2,,columbia-10-belleville-washer-FA280-01.webp|columbia-10-belleville-washer-FA280-02.webp
FA281,simple,Columbia 10-32 X Nyloc Jam Nut-2 per pack,1,0,0,0,1,,columbia-10-32-x-nyloc-jam-nut-2-per-pack-FA281-01.webp
FA285,simple,"Columbia 1/4"" Plastic Washer",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-4-plastic-washer-FA285-01.webp,
FA289,simple,"Columbia Split Pin 1/4"" X 2""",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-split-pin-1-4-x-2-FA289-01.webp,
FA290,simple,Columbia 1/4-20 Nyloc Nut,1,0,0,0,1,,columbia-1-4-20-nyloc-nut-FA290-01.webp
FA292,simple,Columbia 1/4-20 Nyloc Jam Nut,1,0,0,0,1,,columbia-1-4-20-nyloc-jam-nut-FA292-01.webp
FA294,simple,"Columbia 1/4-20 X 3/8"" Socket Hd Screw",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-4-20-x-3-8-socket-hd-screw-FA294-01.webp,
FA295,simple,"Columbia 1/4-20 X 1/2"" Flat Socket",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-4-20-x-1-2-flat-socket-FA295-01.webp,
FA296,simple,"Columbia 1/4-20 X 1/2"" Hex Bolt",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-4-20-x-1-2-hex-bolt-FA296-01.webp,
FA298,simple,"Columbia 1/4-20 X 7/8"" Flat Socket",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-4-20-x-7-8-flat-socket-FA298-01.webp,
FA300,simple,"Columbia 1/4-20 X 2"" Hex Bolt",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-4-20-x-2-hex-bolt-FA300-01.webp,
FA302,simple,"Columbia 1/4-28 X 1/4"" Set Screw",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-4-28-x-1-4-set-screw-FA302-01.webp,
FA305,simple,"Columbia 5/16-18 X 3/4"" Hex Bolt",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-5-16-18-x-3-4-hex-bolt-FA305-01.webp,
FA306,simple,"Columbia 5/16-18 X 1-1/4"" Hex Bolt",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-5-16-18-x-1-1-4-hex-bolt-FA306-01.webp,
FA308,simple,"Columbia 33/64 X 7/8"" Flat Washer",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-33-64-x-7-8-flat-washer-FA308-01.webp,
FA312,simple,"Columbia 10-24 X 1/4"" Set Screw",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-10-24-x-1-4-set-screw-FA312-01.webp,
FA314,simple,Columbia 10-24 X 1-1/2 Pan Slot,1,0,0,0,1,,columbia-10-24-x-1-1-2-pan-slot-FA314-01.webp
FA379,simple,"Columbia 1/4"" E-Clip for Matrix Handle",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-4-e-clip-for-matrix-handle-FA379-01.webp,
FA380,simple,"Columbia 1/8"" E-Clip for Matrix Handle",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-8-e-clip-for-matrix-handle-FA380-01.webp,
FATBOYBOXES,simple,Fat Boy Boxes,3,0,0,0,3,,columbia-fat-boy-boxes-FATBOYBOXES-01.webp|columbia-fat-boy-boxes-FATBOYBOXES-02.webp|columbia-fat-boy-boxes-FATBOYBOXES-03.webp
FATBOYSMOOTHINGBLADES,simple,Fat Boy Smoothing Blades,3,0,0,0,3,,columbia-fat-boy-smoothing-blades-FATBOYSMOOTHINGBLADES-01.webp|columbia-fat-boy-smoothing-blades-FATBOYSMOOTHINGBLADES-02.webp|columbia-fat-boy-smoothing-blades-FATBOYSMOOTHINGBLADES-03.webp
FFB17,simple,Columbia Door Spring,1,0,0,0,1,,columbia-door-spring-FFB17-01.webp
FFB43,simple,Columbia Bead Wheel Bushing,1,0,0,0,1,,columbia-bead-wheel-bushing-FFB43-01.webp
FINISHINGBOXMAINTENANCEKITS,simple,Finishing Box Maintenance Kits,1,0,0,0,1,,columbia-finishing-box-maintenance-kits-FINISHINGBOXMAINTENANCEKITS-01.webp
FINISHINGHAWKS,simple,Finishing Hawks,2,0,0,0,2,,columbia-finishing-hawks-FINISHINGHAWKS-01.webp|columbia-finishing-hawks-FINISHINGHAWKS-02.webp
FLATBOXES,simple,Flat Boxes,3,0,0,0,3,,columbia-flat-boxes-FLATBOXES-01.webp|columbia-flat-boxes-FLATBOXES-02.webp|columbia-flat-boxes-FLATBOXES-03.webp
FLATBOXHANDLE,simple,Flat Box Handle,2,0,0,0,2,,columbia-flat-box-handle-FLATBOXHANDLE-01.webp|columbia-flat-box-handle-FLATBOXHANDLE-02.webp
FMH,simple,Columbia L-Trim Mud Applicator Head,2,0,0,0,2,,columbia-l-trim-mud-applicator-head-FMH-01.webp|columbia-l-trim-mud-applicator-head-FMH-02.webp
HANDLEMAINTENANCEKITS,simple,Handle Maintenance Kits,1,0,0,0,1,,columbia-handle-maintenance-kits-HANDLEMAINTENANCEKITS-01.webp
HMP,simple,Columbia Mud Pump (Top Disconnect),2,0,2,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-mud-pump-top-disconnect-HMP-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-mud-pump-top-disconnect-HMP-02.webp,
IA90,simple,Columbia 90 Inside Plastic Applicator,2,0,0,0,2,,columbia-90-inside-plastic-applicator-IA90-01.webp|columbia-90-inside-plastic-applicator-IA90-02.webp
ICA,simple,Inside Corner Applicator,4,0,3,0,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/platinum-drywall-tools-inside-90-degree-applicator-PT-ICA-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/platinum-drywall-tools-inside-90-degree-applicator-PT-ICA-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/platinum-drywall-tools-inside-90-degree-applicator-PT-ICA-03.webp,columbia-inside-corner-applicator-ICA-04.webp
ICA21,simple,Columbia 2 Wheel Inside Corner Applicator,1,0,0,0,1,,columbia-2-wheel-inside-corner-applicator-ICA21-01.webp
ICA41,simple,Columbia 4 Wheel Inside Corner Applicator,1,0,0,0,1,,columbia-4-wheel-inside-corner-applicator-ICA41-01.webp
ICATW,simple,Columbia Two Way Internal Corner Applicator,4,0,0,0,4,,columbia-two-way-internal-corner-applicator-ICATW-01.webp|columbia-two-way-internal-corner-applicator-ICATW-02.webp|columbia-two-way-internal-corner-applicator-ICATW-03.webp|columbia-two-way-internal-corner-applicator-ICATW-04.webp
ITC-K,simple,Inside Track Conversion Kits,4,0,0,0,4,,columbia-inside-track-conversion-kits-ITC-K-01.webp|columbia-inside-track-conversion-kits-ITC-K-02.webp|columbia-inside-track-conversion-kits-ITC-K-03.webp|columbia-inside-track-conversion-kits-ITC-K-04.webp
MH17,simple,Columbia Matrix Pinch Brake,1,0,0,0,1,,columbia-matrix-pinch-brake-MH17-01.webp
MH21,simple,Columbia Matrix Grip Adjuster Housing,1,0,0,0,1,,columbia-matrix-grip-adjuster-housing-MH21-01.webp
MH24,simple,Columbia Matrix Pinch Brake Bushing,1,0,0,0,1,,columbia-matrix-pinch-brake-bushing-MH24-01.webp
MH25,simple,Columbia Matrix Pinch Brake Stem,1,0,0,0,1,,columbia-matrix-pinch-brake-stem-MH25-01.webp
MH9,simple,CTTMH9,1,0,0,0,1,,columbia-cttmh9-MH9-01.webp
COL-MH,variable,Columbia Matrix Flat Box Handles,3,0,0,1,2,,columbia-matrix-extendable-flat-box-handle-MH-01.webp|columbia-matrix-xl-extendable-flat-box-handle-MHL-01.webp|columbia-matrix-29-39-inch-extendable-flat-box-handle-MHS-01.webp
MH,variation,Columbia Matrix Extendable Flat Box Handle,1,0,0,0,1,,columbia-matrix-extendable-flat-box-handle-MH-01.webp
MHL,variation,Columbia Matrix XL Extendable Flat Box Handle,1,0,0,0,1,,columbia-matrix-xl-extendable-flat-box-handle-MHL-01.webp
MHS,variation,"Columbia Matrix 29-39"" Extendable Flat Box Handle",1,0,0,1,0,,columbia-matrix-29-39-inch-extendable-flat-box-handle-MHS-01.webp
MPR1,simple,Columbia Mud Pump Maintenance Kit,1,0,0,0,1,,columbia-mud-pump-maintenance-kit-MPR1-01.webp
MUDPANS,simple,Mud Pans,3,0,0,0,3,,columbia-mud-pans-MUDPANS-01.webp|columbia-mud-pans-MUDPANS-02.webp|columbia-mud-pans-MUDPANS-03.webp
MUDPUMPMAINTENANCEKIT,simple,Mud Pump Maintenance Kit,1,0,0,0,1,,columbia-mud-pump-maintenance-kit-MUDPUMPMAINTENANCEKIT-01.webp
NAILSPOTTERMAINTENANCEKITS,simple,Nailspotter Maintenance Kits,1,0,0,0,1,,columbia-nailspotter-maintenance-kits-NAILSPOTTERMAINTENANCEKITS-01.webp
OA90,simple,Columbia Outside 90 Mud Head,2,0,0,0,2,,columbia-outside-90-mud-head-OA90-01.webp|columbia-outside-90-mud-head-OA90-02.webp
ONEPIECEPUTTYKNIVESCOPY,simple,Taping Knives,5,0,0,0,5,,columbia-taping-knives-ONEPIECEPUTTYKNIVESCOPY-01.webp|columbia-taping-knives-ONEPIECEPUTTYKNIVESCOPY-02.webp|columbia-taping-knives-ONEPIECEPUTTYKNIVESCOPY-03.webp|columbia-taping-knives-ONEPIECEPUTTYKNIVESCOPY-04.webp|columbia-taping-knives-ONEPIECEPUTTYKNIVESCOPY-05.webp
OUTSIDE90GROOVEDMUDHEADS,simple,Outside 90 Grooved Mud Heads,1,0,0,0,1,,columbia-outside-90-grooved-mud-heads-OUTSIDE90GROOVEDMUDHEADS-01.webp
PC1H,simple,Columbia Predator One Handle,1,0,0,0,1,,columbia-predator-one-handle-PC1H-01.webp
PC1HEXT,simple,Columbia 3-5' Predator One  Extendable Handle,1,0,0,0,1,,columbia-3-5-predator-one-extendable-handle-PC1HEXT-01.webp
PCHXL,simple,Columbia 4-8' Predator Long Extendable Handle,1,0,0,0,1,,columbia-4-8-predator-long-extendable-handle-PCHXL-01.webp
PCLT42,simple,"Columbia 42"" Predator Cam Lock Tube",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-42-predator-cam-lock-tube-PCLT42-01.webp,
PCMT42,simple,"Columbia 42"" Predator Compound Tube",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-42-predator-compound-tube-PCMT42-01.webp,
PDDM,simple,Columbia Phantom Dustless Drywall Sander,4,0,0,0,4,,columbia-phantom-dustless-drywall-sander-PDDM-01.webp|columbia-phantom-dustless-drywall-sander-PDDM-02.webp|columbia-phantom-dustless-drywall-sander-PDDM-03.webp|columbia-phantom-dustless-drywall-sander-PDDM-04.webp
PHA,simple,Columbia Aluminum Coarse Thread Adapter,1,0,0,0,1,,columbia-aluminum-coarse-thread-adapter-PHA-01.webp
PHMP,simple,Columbia Predator Hot Mud Pump,1,0,0,0,1,,columbia-predator-hot-mud-pump-PHMP-01.webp
PMH,simple,"Columbia 40""-58"" Predator Matrix Box Handle",1,0,0,1,0,,columbia-40-inch-58-inch-predator-matrix-box-handle-PMH-01.webp
PMHL,simple,"Columbia 56""-76"" Predator Matrix Box Handle",1,0,0,1,0,,columbia-56-inch-76-inch-predator-matrix-box-handle-PMHL-01.webp
PMHS,simple,"Columbia 29""-39"" Predator Matrix Box Handle",1,0,0,1,0,,columbia-29-inch-39-inch-predator-matrix-box-handle-PMHS-01.webp
PTAPER,simple,Columbia Predator Carbon Fiber Automatic Taper,5,0,5,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-predator-carbon-fiber-automatic-tape-PTAPER-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-predator-carbon-fiber-automatic-tape-PTAPER-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-predator-carbon-fiber-automatic-tape-PTAPER-03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-predator-carbon-fiber-automatic-tape-PTAPER-04.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-predator-carbon-fiber-automatic-tape-PTAPER-05.webp,
PTS,simple,Columbia Predator Tactical Set,2,0,0,0,2,,columbia-predator-tactical-set-PTS-01.webp|columbia-predator-tactical-set-PTS-02.webp
PUTTYKNIVES,simple,Putty Knives,1,0,0,0,1,,columbia-putty-knives-PUTTYKNIVES-01.webp
RC,simple,Columbia Road Case,4,0,0,0,4,,columbia-road-case-RC-01.webp|columbia-road-case-RC-02.webp|columbia-road-case-RC-03.webp|columbia-road-case-RC-04.webp
SACS,simple,Columbia Semi Automatic Commando Set,2,0,0,0,2,,columbia-semi-automatic-commando-set-SACS-01.webp|columbia-semi-automatic-commando-set-SACS-02.webp
SAT,simple,Columbia Semi Automatic Taper,3,0,0,0,3,,columbia-semi-automatic-taper-SAT-01.webp|columbia-semi-automatic-taper-SAT-02.webp|columbia-semi-automatic-taper-SAT-03.webp
SBC,simple,Columbia Sabre Smoothing Blade Claw Adapter,1,0,0,0,1,,columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
SBP,simple,"Columbia 41-75"" Sabre Smoothing Blade Extension Pole",1,0,0,1,0,,columbia-41-75-inch-sabre-smoothing-blade-extension-po-SBP-01.webp
SBSET,simple,Columbia Sabre Set,3,0,0,0,3,,columbia-sabre-set-SBSET-01.webp|columbia-sabre-set-SBSET-02.webp|columbia-sabre-set-SBSET-03.webp
SPTAPER,simple,Columbia Sawed Off Mini PREDATOR Automatic Taper,1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sawed-off-mini-predator-automatic-ta-SPTAPER-01.webp,
SSB-SIZE,simple,Sabre Smoothing Blades,3,0,0,0,3,,columbia-sabre-smoothing-blades-SSB-SIZE-01.webp|columbia-sabre-smoothing-blades-SSB-SIZE-02.webp|columbia-sabre-smoothing-blades-SSB-SIZE-03.webp
