Brands,SKU,MPN,Name,Categories,Short description
Columbia Taping Tools,HP48A,HP48A,Columbia Hot Mud Pump HP48 Body A (HP48A),Drywall Finishing Tools > Columbia Taping Tools > Mud Pump,Hot Mud Pump HP48 Body A (HP48A)
Columbia Taping Tools,HP48B,HP48B,Columbia Hot Mud Pump HP48 Body B (HP48B),Drywall Finishing Tools > Columbia Taping Tools > Mud Pump,Hot Mud Pump HP48 Body B (HP48B)
Columbia Taping Tools,HP48L,HP48L,Columbia Hot Mud Pump HP48 Long Body (HP48L),Drywall Finishing Tools > Columbia Taping Tools > Mud Pump,Hot Mud Pump HP48 Long Body (HP48L)
Columbia Taping Tools,HP4,HP4,Columbia Hot Mud Pump Piston Assembly (HP4),Drywall Finishing Tools > Columbia Taping Tools > Mud Pump,Hot Mud Pump Piston Assembly (HP4)
Columbia Taping Tools,MP7A,MP7A,Columbia Mud Pump Foot Valve A (MP7A),Drywall Finishing Tools > Columbia Taping Tools > Mud Pump,Mud Pump Foot Valve A (MP7A)
Columbia Taping Tools,MP7E,MP7E,Columbia Mud Pump Foot Valve E (MP7E),Drywall Finishing Tools > Columbia Taping Tools > Mud Pump,Mud Pump Foot Valve E (MP7E)
Columbia Taping Tools,MP-08,,Columbia Mud Pump Leg - MP8 (MP-08),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Mud Pump Leg - MP8 (MP-08) provides essential stability and support for Columbia loading pumps, ensuring a secure, wobble-free foundation during high-volume compound filling."
Columbia Taping Tools,MP-36,,Columbia Mud Pump Nylatron Bushing (MP-36),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Columbia Mud Pump Nylatron Bushing (MP-36) is a precision-engineered OEM replacement part designed to reduce friction and extend the service life of your Columbia mud pump.
Columbia Taping Tools,MP-27C,,Columbia Mud Pump O Ring Retainer (MP-27C),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Mud Pump O Ring Retainer (MP-27C) is a precision-engineered replacement part designed to secure internal seals, prevent leaks, and maintain optimal suction pressure in Columbia mud pumps."
Columbia Taping Tools,MP7B,MP7B,Columbia Mud Pump O-Ring Retainer B (MP7B),Drywall Finishing Tools > Columbia Taping Tools > Mud Pump,Mud Pump O-Ring Retainer B (MP7B)
Columbia Taping Tools,MP7C,MP7C,Columbia Mud Pump O-Ring Retainer C (replaces MP7D) (MP7C),Drywall Finishing Tools > Columbia Taping Tools > Mud Pump,Mud Pump O-Ring Retainer C (replaces MP7D) (MP7C)
Columbia Taping Tools,MP8A,MP8A,Columbia Mud Pump Valve Spring A (MP8A),Drywall Finishing Tools > Columbia Taping Tools > Mud Pump,Mud Pump Valve Spring A (MP8A)
Columbia Taping Tools,MP8B,MP8B,Columbia Mud Pump Valve Spring B (MP8B),Drywall Finishing Tools > Columbia Taping Tools > Mud Pump,Mud Pump Valve Spring B (MP8B)
Columbia Taping Tools,NS-25-2,,Columbia Nail Spotter Door Swivel (NS-25-2),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"The Columbia Nail Spotter Door Swivel (NS-25-2) provides essential articulation for finishing nail spots around door frames and tight corners, ensuring consistent pressure and a professional-grade finish."
Columbia Taping Tools,GC1HEXT &AMP; AHA,,Columbia One Extendable Angle Head Handle 3'-5' (GC1HEXT &AMP; AHA),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia One Extendable Handle (3'-5') featuring a universal design for seamless compatibility with angle heads, corner rollers, and nail spotters. Built from durable, lightweight billet aluminum with an ergonomic grip for professional-grade corner finishing."
Columbia Taping Tools,C154,C154,Columbia Predator Carbon Fiber Cam Roller (C154),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Carbon Fiber Cam Roller (C154)
Columbia Taping Tools,C779-CS,C779-CS,Columbia Predator Carbon Fiber Cover Plate Cork Seal (C779-CS),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Carbon Fiber Cover Plate Cork Seal (C779-CS)
Columbia Taping Tools,C148,C148,Columbia Predator Carbon Fiber Crimping Arm Left (C148),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Carbon Fiber Crimping Arm Left (C148)
Columbia Taping Tools,C78S,C78S,Columbia Predator Carbon Fiber Drive Chain Short (C78S),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Carbon Fiber Drive Chain Short (C78S)
Columbia Taping Tools,C159,C159,Columbia Predator Carbon Fiber Magnet (C159),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Carbon Fiber Magnet (C159)
Columbia Taping Tools,FAJ144,FAJ144,Columbia Predator Joint Fastener 14-4 (FAJ144),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Joint Fastener 14-4 (FAJ144)
Columbia Taping Tools,FAJ706,FAJ706,Columbia Predator Joint Fastener 70-6 (FAJ706),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Joint Fastener 70-6 (FAJ706)
Columbia Taping Tools,FAZ54,FAZ54,Columbia Predator Taper 3/8-16 x 3/4 Socket Head (FAZ54),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 3/8-16 x 3/4 Socket Head (FAZ54)
Columbia Taping Tools,FAZ0A,FAZ0A,Columbia Predator Taper 4-40 Lock Washer (FAZ0A),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 4-40 Lock Washer (FAZ0A)
Columbia Taping Tools,FAZOR,FAZOR,Columbia Predator Taper 4-40 O-Ring (FAZOR),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 4-40 O-Ring (FAZOR)
Columbia Taping Tools,FAZ10,FAZ10,Columbia Predator Taper 4-40 x 1/4 Fillister Slot (FAZ10),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 4-40 x 1/4 Fillister Slot (FAZ10)
Columbia Taping Tools,FAZ1S,FAZ1S,Columbia Predator Taper 4-40 x 1/8 Set Screw (FAZ1S),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 4-40 x 1/8 Set Screw (FAZ1S)
Columbia Taping Tools,FAZ07,FAZ07,Columbia Predator Taper 4-40 x 3/16 Binder Slot (FAZ07),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 4-40 x 3/16 Binder Slot (FAZ07)
Columbia Taping Tools,FAZ14,FAZ14,Columbia Predator Taper 4-40 x 3/8 Hex Bolt (FAZ14),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 4-40 x 3/8 Hex Bolt (FAZ14)
Columbia Taping Tools,FAS46,FAS46,Columbia Predator Taper 4-40 x 5/16 Set Screw (FAS46),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 4-40 x 5/16 Set Screw (FAS46)
Columbia Taping Tools,FAZ48,FAZ48,Columbia Predator Taper 5/16-18 x 3/4 Hex Bolt (FAZ48),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 5/16-18 x 3/4 Hex Bolt (FAZ48)
Columbia Taping Tools,FAZ2R,FAZ2R,Columbia Predator Taper 6-32 Nyloc Nut (FAZ2R),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 6-32 Nyloc Nut (FAZ2R)
Columbia Taping Tools,FAZ21S,FAZ21S,Columbia Predator Taper 6-32 x 1/8 Set Screw (FAZ21S),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 6-32 x 1/8 Set Screw (FAZ21S)
Columbia Taping Tools,FAZ20,FAZ20,Columbia Predator Taper 6-32 x 3/4 Hex Bolt (FAZ20),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 6-32 x 3/4 Hex Bolt (FAZ20)
Columbia Taping Tools,FAZ5S,FAZ5S,Columbia Predator Taper 8-32 x 1/4 Set Screw (FAZ5S),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 8-32 x 1/4 Set Screw (FAZ5S)
Columbia Taping Tools,FAZ6S,FAZ6S,Columbia Predator Taper 8-32 x 3/16 Set Screw (FAZ6S),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper 8-32 x 3/16 Set Screw (FAZ6S)
Columbia Taping Tools,CA239,CA239,Columbia Predator Taper Adjusting Screw (CA239),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Adjusting Screw (CA239)
Columbia Taping Tools,CT24,CT24,Columbia Predator Taper Brass Bushing (CT24),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Brass Bushing (CT24)
Columbia Taping Tools,CT74,CT74,Columbia Predator Taper Cable Guide Pulley (CT74),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Cable Guide Pulley (CT74)
Columbia Taping Tools,EA:CLS,EA:CLS,Columbia Predator Taper Cam Lock Sleeve (EA:CLS),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Cam Lock Sleeve - EA:CLS
Columbia Taping Tools,CT154,CT154,Columbia Predator Taper Cam Roller (CT154),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Cam Roller (CT154)
Columbia Taping Tools,PACTS,PACTS,Columbia Predator Taper Cam Track Spring (PACTS),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Cam Track Spring (PACTS)
Columbia Taping Tools,CT768,CT768,Columbia Predator Taper Clutch Lever (CT768),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Clutch Lever (CT768)
Columbia Taping Tools,CT840,CT840,Columbia Predator Taper Control Valve Body (CT840),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Control Valve Body (CT840)
Columbia Taping Tools,PA277,PA277,Columbia Predator Taper Creaser Arm Assembly (PA277),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Creaser Arm Assembly (PA277)
Columbia Taping Tools,CT711A,CT711A,Columbia Predator Taper Crimping Arm Bearing (CT711A),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Crimping Arm Bearing (CT711A)
Columbia Taping Tools,CT747,CT747,Columbia Predator Taper Crimping Wheel Bushing (CT747),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Crimping Wheel Bushing (CT747)
Columbia Taping Tools,CTA1A,CTA1A,Columbia Predator Taper Cutter Block Assembly (CTA1A),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Cutter Block Assembly (CTA1A)
Columbia Taping Tools,CT741A,CT741A,Columbia Predator Taper Cutter Block Clamp (CT741A),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Cutter Block Clamp (CT741A)
Columbia Taping Tools,CT240-DL,CT240-DL,Columbia Predator Taper Deep Lever Assembly (CT240-DL),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Deep Lever Assembly (CT240-DL)
Columbia Taping Tools,CT69,CT69,Columbia Predator Taper Drive Cam (CT69),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Drive Cam (CT69)
Columbia Taping Tools,CT726,CT726,Columbia Predator Taper Drive Chain Predator (CT726),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Drive Chain Predator (CT726)
Columbia Taping Tools,CT776,CT776,Columbia Predator Taper Drive Sprocket Large (CT776),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Drive Sprocket Large (CT776)
Columbia Taping Tools,CT771,CT771,Columbia Predator Taper Drive Sprocket Small (CT771),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Drive Sprocket Small (CT771)
Columbia Taping Tools,EA200,EA200,Columbia Predator Taper External Adapter 200 (EA200),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper External Adapter 200 (EA200)
Columbia Taping Tools,FX242,FX242,Columbia Predator Taper Flex Connector (FX242),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Flex Connector (FX242)
Columbia Taping Tools,FR258,FR258,Columbia Predator Taper Frame Reinforcement (FR258),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Frame Reinforcement (FR258)
Columbia Taping Tools,CT18,CT18,Columbia Predator Taper Guide Bracket (CT18),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Guide Bracket (CT18)
Columbia Taping Tools,PA214,PA214,"Columbia Predator Taper Head Assembly 14"" (PA214)",Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Head Assembly 14 in (PA214)
Columbia Taping Tools,CT00,CT00,Columbia Predator Taper Head Cover Plate (CT00),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Head Cover Plate (CT00)
Columbia Taping Tools,PA266,PA266,Columbia Predator Taper Head Sub Assembly (PA266),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Head Sub Assembly (PA266)
Columbia Taping Tools,CT759,CT759,Columbia Predator Taper Hollow Shaft Predator (CT759),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Hollow Shaft Predator (CT759)
Columbia Taping Tools,CT02,CT02,Columbia Predator Taper Insert Bushing (CT02),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Insert Bushing (CT02)
Columbia Taping Tools,CT364,CT364,Columbia Predator Taper Knife Guide Bracket (CT364),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Knife Guide Bracket (CT364)
Columbia Taping Tools,CT03,CT03,Columbia Predator Taper Left Insert Bushing (CT03),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Left Insert Bushing (CT03)
Columbia Taping Tools,PA2LS,PA2LS,Columbia Predator Taper Left Side Assembly (PA2LS),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Left Side Assembly (PA2LS)
Columbia Taping Tools,LT06,LT06,Columbia Predator Taper Lightweight Frame Bracket (LT06),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Lightweight Frame Bracket (LT06)
Columbia Taping Tools,CT114,CT114,Columbia Predator Taper Locking Block (CT114),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Locking Block (CT114)
Columbia Taping Tools,CT765,CT765,Columbia Predator Taper Manual Drive Grip (CT765),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Manual Drive Grip (CT765)
Columbia Taping Tools,CT794,CT794,Columbia Predator Taper Mud Shut Off Upper Plate (CT794),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Mud Shut Off Upper Plate (CT794)
Columbia Taping Tools,CT624,CT624,Columbia Predator Taper Needle Shaft Assembly (CT624),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Needle Shaft Assembly (CT624)
Columbia Taping Tools,PAS07,PAS07,Columbia Predator Taper Pivot Assembly Small (PAS07),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Pivot Assembly Small (PAS07)
Columbia Taping Tools,PAS80,PAS80,Columbia Predator Taper Pull Rod Assembly (PAS80),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Pull Rod Assembly (PAS80)
Columbia Taping Tools,CT790,CT790,Columbia Predator Taper Rod Sleeve Housing (CT790),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Rod Sleeve Housing (CT790)
Columbia Taping Tools,CTA128,CTA128,Columbia Predator Taper Shaft Guide Roller Bushing Assembly (CTA128),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Shaft Guide Roller Bushing Assembly (CTA128)
Columbia Taping Tools,CTSAA,CTSAA,Columbia Predator Taper Side Assembly Left (CTSAA),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Side Assembly Left (CTSAA)
Columbia Taping Tools,PA2S4,PA2S4,Columbia Predator Taper Side Plate Assembly (PA2S4),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Side Plate Assembly (PA2S4)
Columbia Taping Tools,CT52,CT52,Columbia Predator Taper Spacer Bar (CT52),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Spacer Bar (CT52)
Columbia Taping Tools,PASS9,PASS9,Columbia Predator Taper Spring Set (PASS9),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Spring Set (PASS9)
Columbia Taping Tools,CT140,CT140,Columbia Predator Taper Tape Advance Plate (CT140),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Tape Advance Plate (CT140)
Columbia Taping Tools,ER2LT,ER2LT,Columbia Predator Taper Tension Rod Left (ER2LT),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Tension Rod Left (ER2LT)
Columbia Taping Tools,LT54,LT54,Columbia Predator Taper Titanium Pull Rod 54 (LT54),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Titanium Pull Rod 54 (LT54)
Columbia Taping Tools,CT054,CT054,Columbia Predator Taper Toe Kicker Rail (CT054),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Toe Kicker Rail (CT054)
Columbia Taping Tools,VAZ10,VAZ10,Columbia Predator Taper Valve Assembly Zinc (VAZ10),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Valve Assembly Zinc (VAZ10)
Columbia Taping Tools,CTYS,CTYS,Columbia Predator Taper Y-Cam Spring (CTYS),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Y-Cam Spring (CTYS)
Columbia Taping Tools,PAZ20,PAZ20,Columbia Predator Taper Zinc Cam Roller (PAZ20),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Zinc Cam Roller (PAZ20)
Columbia Taping Tools,FRZ13,FRZ13,Columbia Predator Taper Zinc Frame Rivet (FRZ13),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,Predator Taper Zinc Frame Rivet (FRZ13)
Columbia Taping Tools,PAZ49,PAZ49,Columbia Predator Taper Zinc Pivot Pin (PAZ49),Drywall Finishing Tools > Columbia Taping Tools > Automatic Taper,Predator Taper Zinc Pivot Pin (PAZ49)
Columbia Taping Tools,CT-34R,,Columbia Removable Cover Plate Attachment Block (CT-34R),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Removable Cover Plate Attachment Block (CT-34R) provides a secure, quick-release interface for Columbia automatic taping tools, ensuring reliable performance and simplified maintenance for professional drywall finishing."
Columbia Taping Tools,CT-119,,Columbia Spool Retaining Spring (CT-119),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Spool Retaining Spring (CT-119) ensures proper tape tension and reliable spool retention for Columbia automatic taping tools, preventing premature unspooling and maintaining consistent feed performance."
Columbia Taping Tools,TBMP8C,,Columbia Tall Boy Lef Stabilizer (TBMP8C),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Tall Boy Leg Stabilizer (TBMP8C) provides critical lateral support and improved balance for professionals using stilt systems, ensuring consistent performance during high-reach drywall finishing."
Columbia Taping Tools,CT-121B,,Columbia Tape Spool Shaft (Quick Release) (CT-121B),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Tape Spool Shaft (Quick Release) (CT-121B) is a durable, precision-engineered component designed for rapid tape roll changes and seamless integration with Columbia automatic taping tools."
Columbia Taping Tools,CT-103,,Columbia Taper Barrel Main Body (CT-103),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Columbia Taper Barrel Main Body (CT-103) is a precision-engineered replacement component designed for durability and consistent mud flow in professional automatic taping systems.
Columbia Taping Tools,CT-106A,,Columbia Taper Bearing Shaft (CT-106A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Maintain smooth, consistent performance in your automatic taper with this genuine Columbia Taping Tools replacement bearing shaft, engineered for durability and precise operation."
Columbia Taping Tools,CT-73,,Columbia Taper Cable Drum (CT-73),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,The Columbia Taper Cable Drum (CT-73) is a precision-engineered replacement part designed to maintain optimal cable tension and smooth operation in Columbia automatic drywall tapers.
Columbia Taping Tools,CT-084A,,Columbia Taper Cable Guide Pulley (CT-084A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Columbia Taper Cable Guide Pulley (CT-084A) ensures smooth cable movement and consistent tension for professional automatic drywall tapers.
Columbia Taping Tools,CT-085,,Columbia Taper Clutch Release Shaft (CT-085),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Columbia Taper Clutch Release Shaft (CT-085) ensures smooth clutch engagement and reliable mud gate operation for professional automatic tapers.
Columbia Taping Tools,CT-45,,Columbia Taper Connecting Rod (CT-45),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Columbia Taper Connecting Rod (CT-45) is a professional-grade replacement part designed for seamless integration and restored performance in Columbia automatic drywall tapers. Includes CT46 rod stop.
Columbia Taping Tools,CT-105,,Columbia Taper Crimper Lever (CT-105),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"The Columbia Taper Crimper Lever (CT-105) is a durable, precision-engineered replacement part designed to maintain smooth, reliable operation of the crimping assembly in Columbia automatic drywall tapers."
Columbia Taping Tools,054096F-A,,Columbia Taper Crimping Arm Left (054096F-A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Taper Crimping Arm Left (054096F-A) is a genuine replacement part for the CT48 automatic taper, engineered for precise alignment and long-term durability in professional drywall finishing."
Columbia Taping Tools,CT-41,,Columbia Taper Cutter Block (CT-41),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"The Columbia Taper Cutter Block (CT-41) is a precision-engineered replacement part designed for Columbia automatic tapers, ensuring clean tape cuts and reliable performance on the job site."
Columbia Taping Tools,CT-41A,,Columbia Taper Cutter Block Clamp (CT-41A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"The Columbia Taper Cutter Block Clamp (CT-41A) is a precision-engineered replacement part designed to securely lock the knife retainer in Columbia automatic tapers, ensuring consistent, clean tape cuts and reliable performance on the job site."
Columbia Taping Tools,050110F-A,,Columbia Taper Drive Shaft (050110F-A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Taper Drive Shaft (050110F-A) is a precision-engineered replacement component designed for the Columbia CT70 automatic taper, ensuring reliable power transmission and consistent performance for professional drywall finishing."
Columbia Taping Tools,CT-77,,Columbia Taper Drive Sprocket Large (CT-77),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Taper Drive Sprocket Large (CT-77) is a precision-engineered replacement part designed to restore smooth, reliable performance and consistent tape advancement in Columbia automatic taping tools."
Columbia Taping Tools,052125F-A,,Columbia Taper Drive Sprocket Small (052125F-A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Taper Drive Sprocket Small (CT71) is a precision-engineered replacement part designed to restore smooth, consistent tape advancement and reliable performance to your automatic taper."
Columbia Taping Tools,CT-01,,Columbia Taper Head Casting - CT1 (CT-01),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Columbia Taper Head Casting - CT1 (CT-01) is a precision-engineered replacement part designed to maintain the structural integrity and consistent mud flow of your automatic taper.
Columbia Taping Tools,CT-92A,,Columbia Taper L Clip (CT-92A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Taper L Clip (CT-92A) is a durable, genuine replacement cable retainer designed to maintain consistent tension and reliable performance in Columbia automatic drywall tapers."
Columbia Taping Tools,CT-3A,,Columbia Taper Left Insert Bushing - CT3A (CT-3A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Columbia Taper Left Insert Bushing CT-3A is a high-durability replacement part designed to restore smooth mechanical performance and precision to Columbia automatic taping tools.
Columbia Taping Tools,CT-43,,Columbia Taper Micro Chain #5618 (CT-43),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Taper Micro Chain #5618 (CT-43) is a vital replacement part for the cutter block assembly, ensuring smooth, reliable tape cutting and preventing mechanical jams in your automatic taper."
Columbia Taping Tools,CT-98,,Columbia Taper Mud Supply Seal Plate (CT-98),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Taping Tools Taper Mud Supply Seal Plate (CT-98) ensures a secure, leak-free seal for your automatic taper, maintaining consistent pressure and reliable mud delivery for professional drywall finishing."
Columbia Taping Tools,CT-29,,Columbia Taper Nylatron Chain Roller (CT-29),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Maintain smooth, reliable performance in your automatic taper with this durable, low-friction Nylatron chain roller designed for professional drywall tools."
Columbia Taping Tools,CT-76,,Columbia Taper Nylatron Washer (CT-76),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Columbia Taper Nylatron Washer (CT-76) is a high-durability replacement part designed to reduce friction and maintain smooth operation in your automatic taping tools.
Columbia Taping Tools,CT-99A,,Columbia Taper Plate O-Ring (CT-99A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Maintain consistent compound flow and prevent leaks with this precision-engineered replacement O-ring for Columbia Taping Tools taper plate systems.
Columbia Taping Tools,CT-118,,Columbia Taper Retaining Spring Clip (CT-118),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Columbia Taper Retaining Spring Clip (CT-118) ensures consistent tape tension and reliable performance for your automatic drywall taper.
Columbia Taping Tools,CT-90,,Columbia Taper Rod Sleeve Housing (CT-90),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Columbia Taper Rod Sleeve Housing (CT-90) is a genuine replacement part designed to restore smooth rod movement and structural integrity to your automatic taper assembly.
Columbia Taping Tools,CT-125,,Columbia Taper Roller (CT-125),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"The Columbia Taper Roller (CT-125) is a professional-grade tool designed to embed paper tape into 90-degree internal drywall corners, ensuring a smooth, bubble-free finish and increased job site efficiency."
Columbia Taping Tools,CT128A,,Columbia Taper Shaft Guide Roller Bushing (CT128A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Taper Shaft Guide Roller Bushing (CT128A) ensures precise shaft alignment and smooth operation for professional automatic drywall tapers, reducing friction and extending equipment lifespan."
Columbia Taping Tools,54075-A,,Columbia Taper Side Plate Support Left - CT7 (54075-A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Maintain the precision and structural integrity of your Columbia CT7 automatic taper with this genuine left-side plate support, designed for a perfect fit and reliable, long-term performance."
Columbia Taping Tools,CT-116A,,Columbia Taper Strap (CT-116A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Taper Strap (CT-116A) is a durable, precision-engineered replacement part designed to maintain consistent tension and reliable performance for Columbia automatic drywall tapers."
Columbia Taping Tools,CT-122A,,Columbia Taper Strap (CT-122A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Taper Strap (CT-122A) is a durable, ergonomic replacement strap designed to stabilize your automatic taper, reduce operator fatigue, and ensure consistent performance on the job site."
Columbia Taping Tools,CF5-2 .5,CF5-2.5,"Columbia Tension Spring 2.5"" - Flusher (CF5-2.5)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"COLCF5-2 .5 Columbia Tension Spring 2.5"" - Flusher - CF5-2 .5"
