wc_row_number,wc_mpn,wc_sku,changed_fields,old_name,new_name,old_short_description,new_short_description,old_description,new_description,old_categories,new_categories,notes
719,PFK32TT,16517,Short description,TapeTech Premium Finishing Knife,TapeTech Premium Finishing Knife,,"TapeTech 32"" Premium Finishing Knife PFK32TT","TapeTech 32"" Premium Finishing Knife PFK32TT&nbsp;","TapeTech 32"" Premium Finishing Knife PFK32TT&nbsp;",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
720,PFK40TT,16518,Short description,TapeTech Premium Finishing Knife,TapeTech Premium Finishing Knife,,"TapeTech 40"" Premium Finishing Knife PFK40TT","TapeTech 40"" Premium Finishing Knife PFK40TT","TapeTech 40"" Premium Finishing Knife PFK40TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
721,PFK48TT,16519,Short description,TapeTech Premium Finishing Knife,TapeTech Premium Finishing Knife,,"TapeTech 48"" Premium Finishing Knife PFK48TT","TapeTech 48"" Premium Finishing Knife PFK48TT","TapeTech 48"" Premium Finishing Knife PFK48TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
735,FHTT-CC,16788,"Short description, Categories","TapeTech Closet Crusher 18"" Handle","TapeTech Closet Crusher 18"" Handle",,"TapeTech Closet Crusher 18"" Support Handle FHTT-CC","TapeTech Closet Crusher 18"" Support Handle FHTT-CC","TapeTech Closet Crusher 18"" Support Handle FHTT-CC",Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Closet Crusher Fiberglass Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
736,BH,16789,"Short description, Categories",TapeTech Brakeless Finishing Box Handle,TapeTech Brakeless Finishing Box Handle,,TapeTech Brakeless Flat Box Handle BH,TapeTech Brakeless Flat Box Handle BH,TapeTech Brakeless Flat Box Handle BH,Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Brakeless Box Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
737,BHE,16790,"Short description, Categories",TapeTech Extendable Brakeless Finishing Box Handle,TapeTech Extendable Brakeless Finishing Box Handle,,TapeTech Brakeless Extendable Flat Box Handle BHE,TapeTech Brakeless Extendable Flat Box Handle BHE,TapeTech Brakeless Extendable Flat Box Handle BHE,Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Extendable Brakeless Box Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
739,8042TT,17346,"Short description, Categories","TapeTech 42"" Flat Box Handle","TapeTech 42"" Flat Box Handle",,"TapeTech 42"" Flat Box Handle 8042TT","TapeTech 42"" Flat Box Handle 8042TT","TapeTech 42"" Flat Box Handle 8042TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Box Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
740,8054TT,17347,"Short description, Categories","TapeTech 54"" Flat Box Handle","TapeTech 54"" Flat Box Handle",,"TapeTech 54"" Flat Box Handle 8054TT","TapeTech 54"" Flat Box Handle 8054TT","TapeTech 54"" Flat Box Handle 8054TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Box Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
741,8072TT,17348,"Short description, Categories","TapeTech 72"" Flat Box Handle","TapeTech 72"" Flat Box Handle",,"TapeTech 72"" Flat Box Handle 8072TT","TapeTech 72"" Flat Box Handle 8072TT","TapeTech 72"" Flat Box Handle 8072TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Box Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
743,EHC07,17584,"Short description, Categories",TapeTech MaxxBox Flat Box,TapeTech MaxxBox Flat Box,,"TapeTech 7"" MaxxBox Flat Box EHC07","TapeTech 7"" MaxxBox Flat Box EHC07","TapeTech 7"" MaxxBox Flat Box EHC07",Drywall Finishing Tools > TapeTech > Parts,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > High Capacity Boxes > MaxxBox High Capacity Box,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
744,EHC10,17591,"Short description, Categories",TapeTech MaxxBox Flat Box,TapeTech MaxxBox Flat Box,,"TapeTech 10"" MaxxBox Flat Box EHC10","TapeTech 10"" MaxxBox Flat Box EHC10","TapeTech 10"" MaxxBox Flat Box EHC10",Drywall Finishing Tools > TapeTech > Parts,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > High Capacity Boxes > MaxxBox High Capacity Box,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
745,EHC12,17595,"Short description, Categories",TapeTech MaxxBox Flat Box,TapeTech MaxxBox Flat Box,,"TapeTech 12"" MaxxBox Flat Box EHC12","TapeTech 12"" MaxxBox Flat Box EHC12","TapeTech 12"" MaxxBox Flat Box EHC12",Drywall Finishing Tools > TapeTech > Parts,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > High Capacity Boxes > MaxxBox High Capacity Box,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
747,40XTT,17601,"Short description, Categories","TapeTech 2"" Angle Head","TapeTech 2"" Angle Head",,"TapeTech 2"" Angle Head Drywall Corner Finishing Tool 40XTT","TapeTech 2"" Angle Head Drywall Corner Finishing Tool 40XTT","TapeTech 2"" Angle Head Drywall Corner Finishing Tool 40XTT",Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Corner Finishers > Corner Finisher,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
748,48TT,17603,"Short description, Categories","TapeTech 3"" EasyRoll® Angle Head","TapeTech 3"" EasyRoll® Angle Head",,"TapeTech 3"" EasyRoll® Angle Head Corner Finishing Tool 48TT","TapeTech 3"" EasyRoll® Angle Head Corner Finishing Tool 48TT","TapeTech 3"" EasyRoll® Angle Head Corner Finishing Tool 48TT",Drywall Finishing Tools > TapeTech > Parts,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Adjustable Corner Finishers > EasyRoll Adjustable Corner Finisher,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
749,48XTT,17605,"Short description, Categories","TapeTech 3.5"" EasyRoll® Angle Head","TapeTech 3.5"" EasyRoll® Angle Head",,"TapeTech 3.5"" EasyRoll® Angle Head Corner Finishing Tool 48XTT","TapeTech 3.5"" EasyRoll® Angle Head Corner Finishing Tool 48XTT","TapeTech 3.5"" EasyRoll® Angle Head Corner Finishing Tool 48XTT",Drywall Finishing Tools > TapeTech > Parts,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Adjustable Corner Finishers > EasyRoll Adjustable Corner Finisher,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
763,8034TT,17639,"Short description, Categories","TapeTech 34"" Flat Box Handle","TapeTech 34"" Flat Box Handle",,"TapeTech 34"" Flat Box Handle 8034TT","TapeTech 34"" Flat Box Handle 8034TT","TapeTech 34"" Flat Box Handle 8034TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Box Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
764,BHE-SW,17988,"Short description, Categories",TapeTech SideWinder Brakeless Flat Box Handle,TapeTech SideWinder Brakeless Flat Box Handle,,TapeTech SideWinder Brakeless Flat Box Handle,TapeTech SideWinder Brakeless Flat Box Handle,TapeTech SideWinder Brakeless Flat Box Handle,Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > SideWinder Rotational Brakeless Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
851,SCP02,18218,"Short description, Categories",TapeTech Bucket Scoop - ProSoft Grip,TapeTech Bucket Scoop - ProSoft Grip,,"TapeTech 6.5"" Stainless Steel Bucket Scoop","TapeTech 6.5"" Stainless Steel Bucket Scoop","TapeTech 6.5"" Stainless Steel Bucket Scoop",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Tools of the Trade > Bucket Scoop > Bucket Scoop,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
986,CROLL02,18455,"Short description, Categories",TapeTech Premium Inside Corner Compound Roller with Frame,TapeTech Premium Inside Corner Compound Roller with Frame,,"TapeTech 2"" Inside Corner Compound Roller with Cage CROLL02","TapeTech 2"" Inside Corner Compound Roller with Cage CROLL02","TapeTech 2"" Inside Corner Compound Roller with Cage CROLL02",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Compound Rollers > Rollers > Premium Compound Roller,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
987,CROLLHAN2,18459,"Short description, Categories","TapeTech Compound Roller Support Handle 44"" 79""","TapeTech Compound Roller Support Handle 44"" 79""",,"TapeTech Compound Roller Support Handle 44"" - 79"" (2m) CROLLHAN2","TapeTech Compound Roller Support Handle 44"" - 79"" (2m) CROLLHAN2","TapeTech Compound Roller Support Handle 44"" - 79"" (2m) CROLLHAN2",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Compound Rollers > Support Handles > Compound Roller Support Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
988,CCAGE09,18461,"Short description, Categories","TapeTech 9"" Roller Frame","TapeTech 9"" Roller Frame",,"TapeTech 9"" Compound Roller Cage CCAGE09","<p>TapeTech 9"" Compound Roller Cage CCAGE09</p>","<p>TapeTech 9"" Compound Roller Cage CCAGE09</p>",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Compound Rollers > Roller Cages > Roller Cage,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
993,MR01TT,18473,"Short description, Categories",TapeTech MudRunner Pro,TapeTech MudRunner Pro,,TapeTech MudRunner® Pro MR01TT,TapeTech MudRunner® Pro MR01TT,TapeTech MudRunner® Pro MR01TT,Drywall Finishing Tools > TapeTech > Corner & Angle Tools,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > MudRunner > MudRunner Pro,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
994,MRX01TT,18474,"Short description, Categories",TapeTech MudRunner Pro Extension,TapeTech MudRunner Pro Extension,,TapeTech MudRunner® Pro Extension MRX01TT,<p>TapeTech MudRunner® Pro Extension MRX01TT</p>,<p>TapeTech MudRunner® Pro Extension MRX01TT</p>,Drywall Finishing Tools > TapeTech > Corner & Angle Tools,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > MudRunner > MudRunner Extension,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1000,JS01,18486,"Short description, Categories","TapeTech 6.5"" Carbon Steel Jab Saw","TapeTech 6.5"" Carbon Steel Jab Saw",,"TapeTech 6.5"" Carbon Steel Jab Saw","TapeTech 6.5"" Carbon Steel Jab Saw","TapeTech 6.5"" Carbon Steel Jab Saw",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Tools of the Trade > Saws > Carbon Steel Jab Saw,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1354,400009F,4809,Short description,"TapeTech 2"" Carbide Blade","TapeTech 2"" Carbide Blade",,"TapeTech 2"" Carbide Blade",,,Drywall Finishing Tools > TapeTech > Parts,Drywall Finishing Tools > TapeTech > Parts,short description can be populated from reference
1370,450009F,4826,Short description,"TapeTech 3"" Carbide Blade","TapeTech 3"" Carbide Blade",,"TapeTech 3"" Carbide Blade",,,Drywall Finishing Tools > TapeTech > Parts,Drywall Finishing Tools > TapeTech > Parts,short description can be populated from reference
1492,VEXSET4,72045,Categories,TapeTech Outside Corner Trowel Set - 4 Piece,TapeTech Outside Corner Trowel Set - 4 Piece,,,<p>TapeTech Outside Corner Trowel Set - 4 Piece VEXSET4</p>,<p>TapeTech Outside Corner Trowel Set - 4 Piece VEXSET4</p>,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Corner Trowels > Outside Corner Trowel Set,mpn not present in drywall tool references
1493,VINSET4,72046,Categories,TapeTech Inside Corner Trowel Set - 4 Piece,TapeTech Inside Corner Trowel Set - 4 Piece,,,<p>TapeTech Inside Corner Trowel Set - 4 Piece VINSET4</p>,<p>TapeTech Inside Corner Trowel Set - 4 Piece VINSET4</p>,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Corner Trowels > Inside Corner Trowel Set,mpn not present in drywall tool references
1505,88TTE,7350,Short description,TapeTech Xtender Flat Box Handle,TapeTech Xtender Flat Box Handle,,TapeTech Xtender Flat Box Handle 88TTE,TapeTech Xtender Flat Box Handle 88TTE,TapeTech Xtender Flat Box Handle 88TTE,Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
1506,15TTE,7579,Categories,TapeTech Corner Roller Head,TapeTech Corner Roller Head,,,TapeTech Corner Roller 15TTE,TapeTech Corner Roller 15TTE,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Corner Rollers > Inside Corner Roller,mpn not present in drywall tool references
1509,76TT,7638,"Short description, Categories",TapeTech EasyClean® Loading Pump,TapeTech EasyClean® Loading Pump,,TapeTech EasyClean® Loading Pump 76TT,"<p>TapeTech <span data-teams=""true"">EasyClean®</span> Loading Pump 76TT</p>","<p>TapeTech <span data-teams=""true"">EasyClean®</span> Loading Pump 76TT</p>",Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > EasyClean Pump,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1513,QB6003-5,14132,Short description,TapeTech QSX Flat Finishing Blade,TapeTech QSX Flat Finishing Blade,,"TapeTech 8"" QSX Flat Finishing Blade","<p>TapeTech 8"" QSX Flat Finishing Blade</p>","<p>TapeTech 8"" QSX Flat Finishing Blade</p>",Drywall Finishing Tools > TapeTech > Continuous Flow System,Drywall Finishing Tools > TapeTech > Continuous Flow System,short description can be populated from reference; duplicate MPN appears in multiple wc-catalog rows
1514,JK01SSTT,15035,"Short description, Categories",TapeTech Premium Stainless Steel Joint Knife,TapeTech Premium Stainless Steel Joint Knife,,"TapeTech 0.75"" Premium Stainless Steel Joint Knife","<p>TapeTech 0.75"" Premium Stainless Steel Joint Knife</p>","<p>TapeTech 0.75"" Premium Stainless Steel Joint Knife</p>",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Jointing Knives > Jointing Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy; duplicate MPN appears in multiple wc-catalog rows
1515,TK08SSTT,15041,"Short description, Categories",TapeTech Premium Stainless Steel Taping Knife,TapeTech Premium Stainless Steel Taping Knife,,"TapeTech 14"" Premium Stainless Steel Taping Knife","TapeTech 14"" Premium Stainless Steel Taping Knife","TapeTech 14"" Premium Stainless Steel Taping Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Taping Knives > Taping Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy; duplicate MPN appears in multiple wc-catalog rows
1516,JK04CSTT,15045,"Short description, Categories",TapeTech Premium Carbon Steel Joint Knife,TapeTech Premium Carbon Steel Joint Knife,,"TapeTech 6"" Premium Carbon Steel Joint Knife","TapeTech 6"" Premium Carbon Steel Joint Knife","TapeTech 6"" Premium Carbon Steel Joint Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Specialty Knives > Jointing Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy; duplicate MPN appears in multiple wc-catalog rows
1517,TK08BSTT,15048,"Short description, Categories",TapeTech Premium Blue Steel Taping Knife,TapeTech Premium Blue Steel Taping Knife,,"TapeTech 14"" Premium Blue Steel Taping Knife","TapeTech 14"" Premium Blue Steel Taping Knife","TapeTech 14"" Premium Blue Steel Taping Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Taping Knives > Taping Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy; duplicate MPN appears in multiple wc-catalog rows
1557,QB6003-5,14132,Short description,TapeTech QSX Flat Finishing Blade,TapeTech QSX Flat Finishing Blade,,"TapeTech 8"" QSX Flat Finishing Blade",<p>TapeTech 6.5 QSX Flat Finishing Blade</p>,<p>TapeTech 6.5 QSX Flat Finishing Blade</p>,Drywall Finishing Tools > TapeTech > Continuous Flow System,Drywall Finishing Tools > TapeTech > Continuous Flow System,short description can be populated from reference; duplicate MPN appears in multiple wc-catalog rows
1558,QB6043-5,14135,Short description,"TapeTech 6.5"" QSX Notched Blade","TapeTech 6.5"" QSX Notched Blade",,"TapeTech 6.5"" QSX Notched Blade","<p>TapeTech 6.5"" QSX Notched Blade</p>","<p>TapeTech 6.5"" QSX Notched Blade</p>",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
1559,QB8003-5,14579,Short description,"TapeTech 8"" QSX Flat Finishing Blade","TapeTech 8"" QSX Flat Finishing Blade",,"TapeTech 8"" QSX Flat Finishing Blade","<p>TapeTech 8"" QSX Flat Finishing Blade</p>","<p>TapeTech 8"" QSX Flat Finishing Blade</p>",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
1560,QB8043-5,14581,Short description,"TapeTech 8"" QSX Notched Blade","TapeTech 8"" QSX Notched Blade",,"TapeTech 8"" QSX Notched Blade","<p>TapeTech 8"" QSX Notched Blade</p>","<p>TapeTech 8"" QSX Notched Blade</p>",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
1561,JK01SSTT,15035,"Short description, Categories",TapeTech Premium Stainless Steel Joint Knife,TapeTech Premium Stainless Steel Joint Knife,,"TapeTech 0.75"" Premium Stainless Steel Joint Knife","TapeTech 1"" Premium Stainless Steel Joint Knife","TapeTech 1"" Premium Stainless Steel Joint Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Jointing Knives > Jointing Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy; duplicate MPN appears in multiple wc-catalog rows
1562,JK02SSTT,15036,"Short description, Categories",TapeTech Premium Stainless Steel Joint Knife,TapeTech Premium Stainless Steel Joint Knife,,"TapeTech 2"" Premium Stainless Steel Joint Knife","TapeTech 2"" Premium Stainless Steel Joint Knife","TapeTech 2"" Premium Stainless Steel Joint Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Jointing Knives > Jointing Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1563,JK03SSTT,15037,"Short description, Categories",TapeTech Premium Stainless Steel Joint Knife,TapeTech Premium Stainless Steel Joint Knife,,"TapeTech 3"" Premium Stainless Steel Joint Knife","TapeTech 3"" Premium Stainless Steel Joint Knife","TapeTech 3"" Premium Stainless Steel Joint Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Jointing Knives > Jointing Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1564,JK04SSTT,15038,"Short description, Categories",TapeTech Premium Stainless Steel Joint Knife,TapeTech Premium Stainless Steel Joint Knife,,"TapeTech 4"" Premium Stainless Steel Joint Knife","TapeTech 4"" Premium Stainless Steel Joint Knife","TapeTech 4"" Premium Stainless Steel Joint Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Jointing Knives > Jointing Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1565,JK05SSTT,15039,"Short description, Categories",TapeTech Premium Stainless Steel Joint Knife,TapeTech Premium Stainless Steel Joint Knife,,"TapeTech 5"" Premium Stainless Steel Joint Knife","TapeTech 5"" Premium Stainless Steel Joint Knife","TapeTech 5"" Premium Stainless Steel Joint Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Jointing Knives > Jointing Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1566,JK06SSTT,15040,"Short description, Categories",TapeTech Premium Stainless Steel Joint Knife,TapeTech Premium Stainless Steel Joint Knife,,"TapeTech 6"" Premium Stainless Steel Joint Knife","TapeTech 6"" Premium Stainless Steel Joint Knife","TapeTech 6"" Premium Stainless Steel Joint Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Jointing Knives > Jointing Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1567,TK08SSTT,15041,"Short description, Categories",TapeTech Premium Stainless Steel Taping Knife,TapeTech Premium Stainless Steel Taping Knife,,"TapeTech 14"" Premium Stainless Steel Taping Knife","TapeTech 8"" Premium Stainless Steel Taping Knife","TapeTech 8"" Premium Stainless Steel Taping Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Taping Knives > Taping Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy; duplicate MPN appears in multiple wc-catalog rows
1568,TK10SSTT,15042,"Short description, Categories",TapeTech Premium Stainless Steel Taping Knife,TapeTech Premium Stainless Steel Taping Knife,,"TapeTech 10"" Premium Stainless Steel Taping Knife","TapeTech 10"" Premium Stainless Steel Taping Knife","TapeTech 10"" Premium Stainless Steel Taping Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Taping Knives > Taping Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1569,TK12SSTT,15043,"Short description, Categories",TapeTech Premium Stainless Steel Taping Knife,TapeTech Premium Stainless Steel Taping Knife,,"TapeTech 12"" Premium Stainless Steel Taping Knife","TapeTech 12"" Premium Stainless Steel Taping Knife","TapeTech 12"" Premium Stainless Steel Taping Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Taping Knives > Taping Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1570,TK14SSTT,15044,"Short description, Categories",TapeTech Premium Stainless Steel Taping Knife,TapeTech Premium Stainless Steel Taping Knife,,"TapeTech 14"" Premium Stainless Steel Taping Knife","TapeTech 14"" Premium Stainless Steel Taping Knife","TapeTech 14"" Premium Stainless Steel Taping Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Taping Knives > Taping Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1571,JK04CSTT,15045,"Short description, Categories",TapeTech Premium Carbon Steel Joint Knife,TapeTech Premium Carbon Steel Joint Knife,,"TapeTech 6"" Premium Carbon Steel Joint Knife","TapeTech 4"" Premium Carbon Steel Joint Knife","TapeTech 4"" Premium Carbon Steel Joint Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Specialty Knives > Jointing Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy; duplicate MPN appears in multiple wc-catalog rows
1573,JK06CSTT,15047,"Short description, Categories",TapeTech Premium Carbon Steel Joint Knife,TapeTech Premium Carbon Steel Joint Knife,,"TapeTech 6"" Premium Carbon Steel Joint Knife","TapeTech 6"" Premium Carbon Steel Joint Knife","TapeTech 6"" Premium Carbon Steel Joint Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Specialty Knives > Jointing Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1574,TK08BSTT,15048,"Short description, Categories",TapeTech Premium Blue Steel Taping Knife,TapeTech Premium Blue Steel Taping Knife,,"TapeTech 14"" Premium Blue Steel Taping Knife","TapeTech 8"" Premium Blue Steel Taping Knife","TapeTech 8"" Premium Blue Steel Taping Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Taping Knives > Taping Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy; duplicate MPN appears in multiple wc-catalog rows
1575,TK10BSTT,15049,"Short description, Categories",TapeTech Premium Blue Steel Taping Knife,TapeTech Premium Blue Steel Taping Knife,,"TapeTech 10"" Premium Blue Steel Taping Knife","TapeTech 10"" Premium Blue Steel Taping Knife","TapeTech 10"" Premium Blue Steel Taping Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Taping Knives > Taping Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1576,TK12BSTT,15050,"Short description, Categories",TapeTech Premium Blue Steel Taping Knife,TapeTech Premium Blue Steel Taping Knife,,"TapeTech 12"" Premium Blue Steel Taping Knife","TapeTech 12"" Premium Blue Steel Taping Knife","TapeTech 12"" Premium Blue Steel Taping Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Taping Knives > Taping Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1577,TK14BSTT,15051,"Short description, Categories",TapeTech Premium Blue Steel Taping Knife,TapeTech Premium Blue Steel Taping Knife,,"TapeTech 14"" Premium Blue Steel Taping Knife","TapeTech 14"" Premium Blue Steel Taping Knife","TapeTech 14"" Premium Blue Steel Taping Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Taping Knives > Taping Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
1668,CROLL04,18456,"Short description, Categories","TapeTech 4"" Premium Compound Roller","TapeTech 4"" Premium Compound Roller",,"TapeTech 4"" Premium Compound Roller CROLL04","TapeTech 4"" Premium Compound Roller CROLL04","TapeTech 4"" Premium Compound Roller CROLL04",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Compound Rollers > Rollers > Premium Compound Roller,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy; duplicate MPN appears in multiple wc-catalog rows
