SKU,Name,Type,Categories,Regular price
AB1,Automatic Box Handle Body (AB1),simple,Drywall Finishing Tools > Columbia > Parts,
FFB24-10,Flat Box Wheel Axle 24 in 10 in (FFB24 - 10),simple,Drywall Finishing Tools > Columbia > Parts,
FFB10-10,Flat Box Side Cover 10 in (FFB10 - 10),simple,Drywall Finishing Tools > Columbia > Parts,
FFB19,Brass Adjuster Pin (FFB19),simple,Drywall Finishing Tools > Columbia > Parts,
FA221,#6 Belleville Washer (FA221),simple,Drywall Finishing Tools > Columbia > Parts,
FF8-32,Thumb Release Clip (FFB32),simple,Drywall Finishing Tools > Columbia > Parts,
FF8-12,"Adjuster Dial Assy (5.5,7,8,10)",simple,Drywall Finishing Tools > Columbia > Parts,
FFB-16A,Flat Box Handle Bracket 16A (FFB 16A),simple,Drywall Finishing Tools > Columbia > Parts,
FF8-19,Brass Adjuster Pin (FFB19),simple,Drywall Finishing Tools > Columbia > Parts,
FFB-2S-10,Flat Box Side Plate 10 in Short (FFB 2S - 10),simple,Drywall Finishing Tools > Columbia > Parts,
FF8A-10-10,Blade Bar Assembly 10 in (FFBA10 - 10),simple,Drywall Finishing Tools > Columbia > Parts,
FF8-4C,Flat Box Corner Blade Assembly 4 in (FFB4C),simple,Drywall Finishing Tools > Columbia > Parts,
FFB-SA,Flat Box Side Arm Assembly (FFB SA),simple,Drywall Finishing Tools > Columbia > Parts,
FA-279,10 - 24 X 1 - 1/4in Hex Bolt (FA279),simple,Drywall Finishing Tools > Columbia > Parts,
HFB-17,Heavy Flat Box Wheel Set (HFFB17),simple,Drywall Finishing Tools > Columbia > Parts,
FFB1B,Flat Box Body 1B (FFB1B),simple,Drywall Finishing Tools > Columbia > Parts,
HFFB14-10IN,"HFFB14 - 10 - 10"" Flat Box Hinged Door Gasket",simple,Drywall Finishing Tools > Columbia > Parts,43.0
FFB40-10IN,Flat Box Door Gasket 10 in (FFB40 - 10),simple,Drywall Finishing Tools > Columbia > Parts,
HFFB1-10,10 in Heavy Flat Box Body (HFFB1 - 10),simple,Drywall Finishing Tools > Columbia > Parts,
FFB42,Flat Box Door Pivot (FFB 42),simple,Drywall Finishing Tools > Columbia > Parts,
HFFB4-10,10 in Heavy Flat Box Door (HFFB4 - 10),simple,Drywall Finishing Tools > Columbia > Parts,
CMH-8,"Closet Monster 18"" Flat Box Handle (CMH)",simple,Drywall Finishing Tools > Columbia > Parts,
AH-15,Handle Ball (AH15),simple,Drywall Finishing Tools > Columbia > Parts,
CMH-2,"Closet Monster 18"" Flat Box Handle (CMH)",simple,Drywall Finishing Tools > Columbia > Parts,
FA-325,3/8 - 16 x 1 - 1/2 Socket Head Screw (FA325),simple,Drywall Finishing Tools > Columbia > Parts,
FG4-45,Flat Box 45 Degree Corner Guide 4 in (FG4 - 45),simple,Drywall Finishing Tools > Columbia > Parts,
H-1,Hot Mud Pump Cylinder (HP1),simple,Drywall Finishing Tools > Columbia > Parts,
BH-8-3,3 ft Box Handle 8 in (BH8 - 3),simple,Drywall Finishing Tools > Columbia > Parts,
FA-321,3/8 - 16 x 3/4 Socket Head Screw (FA321),simple,Drywall Finishing Tools > Columbia > Parts,
FG-3A,Flat Box Angle Guide 3A (FG3A),simple,Drywall Finishing Tools > Columbia > Parts,
HH10-EXTLONG,Octogon Tube for Hydro Handle for COL88 (HH10),simple,Drywall Finishing Tools > Columbia > Parts,
SEE-LEVER-DETAIL,SEE LEVER DETAIL,simple,Drywall Finishing Tools > Columbia > Parts,
SEE-PINCHBOX-DETAIL,SEE PINCHBOX DETAIL,simple,Drywall Finishing Tools > Columbia > Parts,
SEE-EXTENSION-HOUSING-DETAIL,SEE EXTENSION HOUSING DETAIL,simple,Drywall Finishing Tools > Columbia > Parts,
MH-9,CTTMH9 (MH9),simple,Drywall Finishing Tools > Columbia > Parts,
FA-383,1/4 - 20 x 3/8 Flat Head Screw (FA383),simple,Drywall Finishing Tools > Columbia > Parts,
FA-319,3/8 - 16 Hex Nut (FA319),simple,Drywall Finishing Tools > Columbia > Parts,
SEE-HEAD-DETAIL,SEE HEAD DETAIL,simple,Drywall Finishing Tools > Columbia > Parts,
MH-14,Matrix Extendable Flat Box Handle (MH),simple,Drywall Finishing Tools > Columbia > Parts,
FA371,10 - 24 x 7/8 Hex Bolt (FA371),simple,Drywall Finishing Tools > Columbia > Parts,
FA375,10 - 32 x 3/8 Flat Head Screw (FA375),simple,Drywall Finishing Tools > Columbia > Parts,
HNS14A,Handle Link New Style (HNS14A),simple,Drywall Finishing Tools > Columbia > Parts,
HNS14-PR,Nail Spotter 14 in Pad and Rod Assembly (HNS14PR),simple,Drywall Finishing Tools > Columbia > Parts,
HNS19-3,Triangle Shoe 3 in (HNS19 - 3”),simple,Drywall Finishing Tools > Columbia > Parts,
FA314,10 - 24 X 1 - 1/2 Pan Slot (FA314),simple,Drywall Finishing Tools > Columbia > Parts,
FFB1A,Nail Spotter Flat Plate 1A (FFB1A),simple,Drywall Finishing Tools > Columbia > Parts,
HNS-3,Nail Spotter Front Plate (HNS3),simple,Drywall Finishing Tools > Columbia > Parts,
HNS2-3,Nail Spotter Front Plate (HNS3),simple,Drywall Finishing Tools > Columbia > Parts,
HNS9-3,Face Plate 3 in (HNS9 - 3”),simple,Drywall Finishing Tools > Columbia > Parts,
HNS2A,Rollface Post (HNS2A),simple,Drywall Finishing Tools > Columbia > Parts,
MP-27B,Mud Pump O - Ring Retainer B (MP27B),simple,Drywall Finishing Tools > Columbia > Parts,
MP-27C,Mud Pump O Ring Retainer - MP27C (MP - 27C),simple,Drywall Finishing Tools > Columbia > Parts,
MP-27,Mud Pump O - Ring Retainer (MP27),simple,Drywall Finishing Tools > Columbia > Parts,
MP7A,Mud Pump Foot Valve A (MP7A),simple,Drywall Finishing Tools > Columbia > Parts,
MP7D,Special Nut for Pump Handle (MP7D),simple,Drywall Finishing Tools > Columbia > Parts,
MP7C,Mud Pump O - Ring Retainer C (replaces MP7D),simple,Drywall Finishing Tools > Columbia > Parts,
FA287,1/4 x 5/8 Split Pin (FA287),simple,Drywall Finishing Tools > Columbia > Parts,
MP7B,Mud Pump O - Ring Retainer B (MP7B),simple,Drywall Finishing Tools > Columbia > Parts,
FFH14,Handle Grip (FFH14),simple,Drywall Finishing Tools > Columbia > Parts,
MP7E,Mud Pump Foot Valve E (MP7E),simple,Drywall Finishing Tools > Columbia > Parts,
MP8A,Mud Pump Valve Spring A (MP8A),simple,Drywall Finishing Tools > Columbia > Parts,
MP8B,Mud Pump Valve Spring B (MP8B),simple,Drywall Finishing Tools > Columbia > Parts,
HP4,Hot Mud Pump Piston Assembly (HP4),simple,Drywall Finishing Tools > Columbia > Parts,
HP48,Handle Pin (HP48),simple,Drywall Finishing Tools > Columbia > Parts,
HP48B,Hot Mud Pump HP48 Body B (HP48B),simple,Drywall Finishing Tools > Columbia > Parts,
HP48A,Hot Mud Pump HP48 Body A (HP48A),simple,Drywall Finishing Tools > Columbia > Parts,
MP33A,Mud Pump Spring Assembly (MP33A),simple,Drywall Finishing Tools > Columbia > Parts,
HB48B,Hot Mud Pump Handle B (HB48B),simple,Drywall Finishing Tools > Columbia > Parts,
FA346,1/4 Star Washer (FA346),simple,Drywall Finishing Tools > Columbia > Parts,
TBMP1,Tall Boy Loading Pump (TBMP),simple,Drywall Finishing Tools > Columbia > Parts,
TBMP8C,Tall Boy Lef Stabilizer (TBMP8C),simple,Drywall Finishing Tools > Columbia > Parts,
FA304,5/16 Flat Washer (FA - 304),simple,Drywall Finishing Tools > Columbia > Parts,
TBMP11,Tall Boy Loading Pump (TBMP),simple,Drywall Finishing Tools > Columbia > Parts,
TBMP2,Tall Boy Loading Pump (TBMP),simple,Drywall Finishing Tools > Columbia > Parts,
FA350,5/16 - 18 x 7/8 Socket Head Screw (FA350),simple,Drywall Finishing Tools > Columbia > Parts,
HP48L,Hot Mud Pump HP48 Long Body (HP48L),simple,Drywall Finishing Tools > Columbia > Parts,
TBMP24,Tall Boy Loading Pump (TBMP),simple,Drywall Finishing Tools > Columbia > Parts,
TBMP8,Tall Boy Loading Pump (TBMP),simple,Drywall Finishing Tools > Columbia > Parts,
FA366,8 - 32 x 3/8 Pan Head Screw (FA366),simple,Drywall Finishing Tools > Columbia > Parts,
S5,Sander Head Retainer Clip (S5),simple,Drywall Finishing Tools > Columbia > Parts,
FA364,8 - 32 x 5/8 Hex Bolt (FA364),simple,Drywall Finishing Tools > Columbia > Parts,
S4,Sander Head Pivot Washer (S4),simple,Drywall Finishing Tools > Columbia > Parts,
S6,Sander Head Swivel Bearing (S6),simple,Drywall Finishing Tools > Columbia > Parts,
S1,Sander Head Main Body (S1),simple,Drywall Finishing Tools > Columbia > Parts,
S2,Sander Head Pivot Pin (S2),simple,Drywall Finishing Tools > Columbia > Parts,
S3,Sander Head Return Spring (S3),simple,Drywall Finishing Tools > Columbia > Parts,
SAT4,Semi Auto Taper Drywall Taping Tool (SAT4),simple,Drywall Finishing Tools > Columbia > Parts,
SAT5,Semi Auto Taper Drywall Taping Tool (SAT5),simple,Drywall Finishing Tools > Columbia > Parts,
FA337,1/4 - 20 x 5/8 Flat Socket Head (FA337),simple,Drywall Finishing Tools > Columbia > Parts,
FA341,1/4 - 20 x 1 - 3/4 Hex Bolt (FA341),simple,Drywall Finishing Tools > Columbia > Parts,
SAT18,Semi Auto Taper Drywall Taping Tool (SAT18),simple,Drywall Finishing Tools > Columbia > Parts,
SAT17,Semi Auto Taper Drywall Taping Tool (SAT17),simple,Drywall Finishing Tools > Columbia > Parts,
SAT15,Semi Auto Taper Drywall Taping Tool (SAT15),simple,Drywall Finishing Tools > Columbia > Parts,
FA340,1/4 - 20 x 1 - 1/4 Socket Head (FA340),simple,Drywall Finishing Tools > Columbia > Parts,
FA285,"1/4"" Plastic Washer (FA285)",simple,Drywall Finishing Tools > Columbia > Parts,
SAT16,Semi Auto Taper Drywall Taping Tool (SAT16),simple,Drywall Finishing Tools > Columbia > Parts,
SAT13,Semi Auto Taper Drywall Taping Tool (SAT13),simple,Drywall Finishing Tools > Columbia > Parts,
SAT11,Semi Auto Taper Drywall Taping Tool (SAT11),simple,Drywall Finishing Tools > Columbia > Parts,
SAT7,Semi Auto Taper Drywall Taping Tool (SAT7),simple,Drywall Finishing Tools > Columbia > Parts,
FA391,6 - 32 x 1 Pan Head Screw (FA391),simple,Drywall Finishing Tools > Columbia > Parts,
SAT22,Semi Auto Taper Drywall Taping Tool (SAT22),simple,Drywall Finishing Tools > Columbia > Parts,
SAT20,Semi Auto Taper Drywall Taping Tool (SAT20),simple,Drywall Finishing Tools > Columbia > Parts,
SAT19,Semi Auto Taper Drywall Taping Tool (SAT19),simple,Drywall Finishing Tools > Columbia > Parts,
SAT10,Semi Auto Taper Drywall Taping Tool (SAT10),simple,Drywall Finishing Tools > Columbia > Parts,
SAT21,Semi Auto Taper Drywall Taping Tool (SAT21),simple,Drywall Finishing Tools > Columbia > Parts,
FA390,6 - 32 x 7/8 Pan Head Screw (FA390),simple,Drywall Finishing Tools > Columbia > Parts,
SAT9,Semi Auto Taper Drywall Taping Tool (SAT9),simple,Drywall Finishing Tools > Columbia > Parts,
SAT6,Semi Auto Taper Drywall Taping Tool (SAT6),simple,Drywall Finishing Tools > Columbia > Parts,
SAT8,Semi Auto Taper Drywall Taping Tool (SAT8),simple,Drywall Finishing Tools > Columbia > Parts,
FA392,6 - 32 x 1 - 1/4 Pan Head Screw (FA392),simple,Drywall Finishing Tools > Columbia > Parts,
SAT12,Semi Auto Taper Drywall Taping Tool (SAT12),simple,Drywall Finishing Tools > Columbia > Parts,
FA345,1/4 x 1/4 Roll Pin (FA345),simple,Drywall Finishing Tools > Columbia > Parts,
SAT1,Semi Auto Taper Drywall Taping Tool (SAT1),simple,Drywall Finishing Tools > Columbia > Parts,
SAT2,Semi Auto Taper Drywall Taping Tool (SAT2),simple,Drywall Finishing Tools > Columbia > Parts,
SAT3,Semi Auto Taper Drywall Taping Tool (SAT3),simple,Drywall Finishing Tools > Columbia > Parts,
SB5-SB6,Tomahawk Blade Holder Spring (SB5),simple,Drywall Finishing Tools > Columbia > Parts,
SB4-RIGHT,Tomahawk Right Arm Assembly (SB4 - RIGHT),simple,Drywall Finishing Tools > Columbia > Parts,
SB1-12IN,Tomahawk 12 in Smoothing Blade (SB1 - 12),simple,Drywall Finishing Tools > Columbia > Parts,
SB3-LEFT,Tomahawk Left Arm Assembly (SB3 - LEFT),simple,Drywall Finishing Tools > Columbia > Parts,
SB7,Tomahawk Handle Fitting (SB7),simple,Drywall Finishing Tools > Columbia > Parts,
SB2-12IN,"Replacement 12"" Blade for Tomahawk SB2 - 12 (SB2 - 12)",simple,Drywall Finishing Tools > Columbia > Parts,
COL-180-GRIP-FLAT-BOX-HANDLE-FIXED-LENGTH,Columbia 180 Grip Flat Box Handle (Fixed Length),variable,Drywall Finishing Tools > Columbia > Automatic Taping Tools,
3BH,Columbia 180 Grip Flat Box Handle (Fixed Length) -  3',variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,174.0
42BH,"Columbia 180 Grip Flat Box Handle (Fixed Length) -  42""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,175.0
4BH,Columbia 180 Grip Flat Box Handle (Fixed Length) -  4',variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,176.0
5BH,Columbia 180 Grip Flat Box Handle (Fixed Length) -  5',variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,177.0
6BH,Columbia 180 Grip Flat Box Handle (Fixed Length) -  6',variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,178.0
2KMR12,Columbia 2K Drywall Mud Roller Complete,simple,Drywall Finishing Tools > Columbia > Mud Pans & Pumps,36.0
MRR12,Columbia 2K Drywall Mud Roller Replacement,simple,Drywall Finishing Tools > Columbia > Parts,23.0
JKBP,Columbia 3 Piece Stainless Steel Comfort Grip Joint Knife Set,simple,Drywall Finishing Tools > Columbia > Knives & Blades,43.0
3WJKBP,Columbia 3 Piece Three - Way Stainless Steel Comfort Grip Joint Knife Set,simple,Drywall Finishing Tools > Columbia > Knives & Blades,43.0
FECCL33,"Columbia 33"" Mud Roller Case",simple,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,86.0
HTBDL2,Columbia 3Way Stainless Steel Putty Knife Set with Nylon Handle,simple,Drywall Finishing Tools > Columbia > Knives & Blades,44.0
COL-3WAY-STAINLESS-STEEL-PUTTY-KNIVES-WITH-NYLON-HANDLE,Columbia 3Way Stainless Steel Putty Knives with Nylon Handle,variable,Drywall Finishing Tools > Columbia > Knives & Blades,
3NPK4,"Columbia 3Way Stainless Steel Putty Knives with Nylon Handle -  4""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,14.0
3NPK5,"Columbia 3Way Stainless Steel Putty Knives with Nylon Handle -  5""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,17.0
3NPK6,"Columbia 3Way Stainless Steel Putty Knives with Nylon Handle -  6""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,17.0
CFBH,Columbia 4' Fixed Length Aluminum Corner Flusher Box Handle (Old Style),simple,Drywall Finishing Tools > Columbia > Automatic Taping Tools,44.0
TBPTAPER,Columbia 6ft Tall Boy Predator Automatic Taper,simple,Drywall Finishing Tools > Columbia > Automatic Taping Tools,1919.0
ATBDL3,Columbia 8pc Starter Finishing Set with Bonus Hand Tool Set,simple,Drywall Finishing Tools > Columbia > Automatic Taping Tools,2132.0
COL-AUTOMATIC-FAT-BOY-FLAT-BOX,Columbia Automatic Fat Boy Finishing Box,variable,Drywall Finishing Tools > Columbia > Automatic Taping Tools,
8FBBA,"Columbia Automatic Fat Boy Finishing Box -  8""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,431.0
10FBBA,"Columbia Automatic Fat Boy Finishing Box -  10""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,435.0
12FBBA,"Columbia Automatic Fat Boy Finishing Box -  12""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,443.0
8FFBA,"Columbia Automatic Flat Finishing Box -  8""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,397.0
10FFBA,"Columbia Automatic Flat Finishing Box -  10""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,401.0
12FFBA,"Columbia Automatic Flat Finishing Box -  12""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,405.0
14FFBA,"Columbia Automatic Flat Finishing Box -  14""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,409.0
ATBDL4,Columbia Basic Finishing Set with Bonus Hand Tool Set,simple,Drywall Finishing Tools > Columbia > Automatic Taping Tools,1419.0
HTBDL6,Columbia Basic Mud Roller and Sabre Smoothing Blade Set with Case,simple,Drywall Finishing Tools > Columbia > Tool Sets & Kits,247.0
HTBDL14,Columbia Basic One Piece Stainless Steel Hand Tool Set,simple,Drywall Finishing Tools > Columbia > Tool Sets & Kits,94.0
SABDL5,Columbia Basic Semi - Automatic Taping Tool Set with Express Case,simple,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,688.0
HTBDL5,Columbia Basic Stainless Steel Knife and Mud Pan Set with Bucket,simple,Drywall Finishing Tools > Columbia > Tool Sets & Kits,70.0
3BBH,Columbia Bent Box Handle -  3',variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,203.0
42BBH,"Columbia Bent Box Handle -  42""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,204.0
4BBH,Columbia Bent Box Handle -  4',variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,205.0
5BBH,Columbia Bent Box Handle -  5',variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,206.0
6BBH,Columbia Bent Box Handle -  6',variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,207.0
HTBDL8,Columbia Complete Stainless Steel Putty Knife Set with Bucket,simple,Drywall Finishing Tools > Columbia > Tool Sets & Kits,157.0
FCMR1-5X18MM,Columbia Corner Mud Roller Replacement,simple,Drywall Finishing Tools > Columbia > Parts,23.0
FMRAF1-5,Columbia Corner Mud Roller with Acme Thread Roller Frame,simple,Drywall Finishing Tools > Columbia > Corner Tools,34.0
HTBDL7,Columbia Essentials Stainless Steel Putty Knife Set with Bucket,simple,Drywall Finishing Tools > Columbia > Tool Sets & Kits,51.0
5-5FBBB,"Columbia Fat Boy Finishing Box -  5.5""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,382.0
8FBBB,"Columbia Fat Boy Finishing Box -  8""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,401.0
10FBBB,"Columbia Fat Boy Finishing Box -  10""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,405.0
12FBBB,"Columbia Fat Boy Finishing Box -  12""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,414.0
FSBC,Columbia Fat Boy Smoothing Blade Adapter Claw,simple,Drywall Finishing Tools > Columbia > Handles & Extensions,32.0
COL-FIBERGLASS-SMOOTHING-BLADE-EXTENSION-HANDLE,Columbia Fiberglass Smoothing Blade Extension Handle,variable,Drywall Finishing Tools > Columbia > Handles & Extensions,
FTH4-6,Columbia Fiberglass Smoothing Blade Extension Handle -  4' - 6' Telescopic,variation,Drywall Finishing Tools > Columbia > Handles & Extensions,59.0
FTH5-8,Columbia Fiberglass Smoothing Blade Extension Handle -  5' - 8' Telescopic,variation,Drywall Finishing Tools > Columbia > Handles & Extensions,63.0
SABDL3,Columbia Full Semi - Automatic Taping Tool and Sanding Set with Bonus Hand Tool Set,simple,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,1347.0
ATBDL1,Columbia Full Taping Set with Carbon Fiber Taper with Bonus Hand Tool Set,simple,Drywall Finishing Tools > Columbia > Automatic Taping Tools,3697.0
8ITFB,"Columbia Inside Track Fat Boy Finishing Box -  8""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,401.0
10ITFB,"Columbia Inside Track Fat Boy Finishing Box -  10""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,405.0
12ITFB,"Columbia Inside Track Fat Boy Finishing Box -  12""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,414.0
HTBDL15,Columbia Mud Roller and Putty Knife Set,simple,Drywall Finishing Tools > Columbia > Tool Sets & Kits,212.0
COL-MUD-ROLLER-REPLACEMENT,Columbia Mud Roller Replacement,variable,Drywall Finishing Tools > Columbia > Parts,
FMR3X18MM,"Columbia Mud Roller Replacement -  80 mm / 3""",variation,Drywall Finishing Tools > Columbia > Parts,16.0
FMR9X18MM,"Columbia Mud Roller Replacement -  220 mm / 9""",variation,Drywall Finishing Tools > Columbia > Parts,17.0
MRW,Columbia Mud Roller Washer,simple,Drywall Finishing Tools > Columbia > Parts,24.0
COL-MUD-ROLLER-WITH-ACME-THREAD-ROLLER-FRAME,Columbia Mud Roller with Acme Thread Roller Frame,variable,Drywall Finishing Tools > Columbia > Corner Tools,
FMRAF3,"Columbia Mud Roller with Acme Thread Roller Frame -  80 mm / 3""",variation,Drywall Finishing Tools > Columbia > Corner Tools,26.0
FMRAF9,"Columbia Mud Roller with Acme Thread Roller Frame -  220 mm / 9""",variation,Drywall Finishing Tools > Columbia > Corner Tools,28.0
OPPK10-1,Columbia One Piece Stainless Steel 10 - in - 1 Multi Tool,simple,Drywall Finishing Tools > Columbia > Knives & Blades,18.0
HTBDL13,Columbia One Piece Stainless Steel Putty Knife Set,simple,Drywall Finishing Tools > Columbia > Knives & Blades,52.0
COL-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,Columbia One Piece Stainless Steel Putty Knives,variable,Drywall Finishing Tools > Columbia > Knives & Blades,
OPPK1-5,"Columbia One Piece Stainless Steel Putty Knives -  1.5""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,16.0
OPPK2,"Columbia One Piece Stainless Steel Putty Knives -  2""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,16.0
OPPK3,"Columbia One Piece Stainless Steel Putty Knives -  3""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,17.0
OPPK4,"Columbia One Piece Stainless Steel Putty Knives -  4""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,18.0
OPPK5,"Columbia One Piece Stainless Steel Putty Knives -  5""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,19.0
OPPK6,"Columbia One Piece Stainless Steel Putty Knives -  6""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,20.0
OPPK8,"Columbia One Piece Stainless Steel Putty Knives -  8""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,24.0
C1SPBODY,Columbia One Sawed Off Predator Automatic Taper Body (Head Not Included),simple,Drywall Finishing Tools > Columbia > Automatic Taping Tools,526.0
C1TBPBODY,Columbia One Tall Boy Predator Automatic Taper Body (Head Not Included),simple,Drywall Finishing Tools > Columbia > Automatic Taping Tools,661.0
CPFGN,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube,simple,Drywall Finishing Tools > Columbia > Automatic Taping Tools,275.0
PCLT42,Columbia Predator Cam Lock Tube,simple,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,290.0
ATBDL2,Columbia Predator Combo Set with Bonus Hand Tool Set,simple,Drywall Finishing Tools > Columbia > Automatic Taping Tools,2155.0
PCMT42,Columbia Predator Compound Tube,simple,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,217.0
SABDL4,Columbia Predator Full Semi - Automatic Taping Tool and Sanding Set with Bonus Hand Tool Set,simple,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,1389.0
PCHXL,Columbia Predator Long Extendable Handle - 4' - 8',simple,Drywall Finishing Tools > Columbia > Automatic Taping Tools,168.0
PMHS,"Columbia Predator Matrix Box Handle -  Short 29"" to 39""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,384.0
PMH,"Columbia Predator Matrix Box Handle -  Regular 40"" to 60""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,418.0
PMHL,"Columbia Predator Matrix Box Handle -  Long 56"" to 76""",variation,Drywall Finishing Tools > Columbia > Automatic Taping Tools,503.0
PC1HEXT,Columbia Predator One Extendable Handle - 3' - 5',simple,Drywall Finishing Tools > Columbia > Automatic Taping Tools,138.0
PC1H,Columbia Predator One Fixed Handle,simple,Drywall Finishing Tools > Columbia > Automatic Taping Tools,62.0
PHMP,Columbia Predator Quick - Clean Mud Pump (Box Filler Not Included),simple,Drywall Finishing Tools > Columbia > Automatic Taping Tools,376.0
SABDL2,Columbia Predator Semi - Automatic Taping Tool Set with Bonus Hand Tool Set,simple,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,962.0
SABDL7,Columbia Predator Tomahawk Smoothing Blade Set with Hard Case,simple,Drywall Finishing Tools > Columbia > Knives & Blades,634.0
COL-PRO-FLEX-0-7-CURVED-BLADE-STAINLESS-STEEL-FINISHING-TROWEL,Columbia Pro Flex 0.7 Curved Blade Stainless Steel Finishing Trowel,variable,Drywall Finishing Tools > Columbia > Knives & Blades,
12-4-7-0-7-G-C-C,"Columbia Pro Flex 0.7 Curved Blade Stainless Steel Finishing Trowel -  4.7"" x 12"" Cork Handle",variation,Drywall Finishing Tools > Columbia > Knives & Blades,63.0
14-4-7-0-7-G-C-C,"Columbia Pro Flex 0.7 Curved Blade Stainless Steel Finishing Trowel -  4.7"" x 14"" Cork Handle",variation,Drywall Finishing Tools > Columbia > Knives & Blades,68.0
16-4-7-0-7-G-C-C,"Columbia Pro Flex 0.7 Curved Blade Stainless Steel Finishing Trowel -  4.7"" x 16"" Cork Handle",variation,Drywall Finishing Tools > Columbia > Knives & Blades,74.0
HTBDL9,Columbia Pro Flex 0.7 Curved Blade Stainless Steel Finishing Trowel & Hawk Set,simple,Drywall Finishing Tools > Columbia > Tool Sets & Kits,171.0
COL-DEWALT-PRO-FLEX-FLAT-BLADE-STAINLESS-STEEL-FINISHING-TROWEL-COPY,Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing Trowel,variable,Drywall Finishing Tools > Columbia > Knives & Blades,
12-4-7-0-7-G-C,"Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing Trowel -  4.7"" x 12"" Cork Handle",variation,Drywall Finishing Tools > Columbia > Knives & Blades,63.0
14-4-7-0-7-G-C,"Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing Trowel -  4.7"" x 14"" Cork Handle",variation,Drywall Finishing Tools > Columbia > Knives & Blades,68.0
16-4-7-0-7-G-C,"Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing Trowel -  4.7"" x 16"" Cork Handle",variation,Drywall Finishing Tools > Columbia > Knives & Blades,74.0
18-4-7-0-7-G-C,"Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing Trowel -  4.7"" x 18"" Cork Handle",variation,Drywall Finishing Tools > Columbia > Knives & Blades,78.0
HTBDL11,Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing Trowel & Hawk Set,simple,Drywall Finishing Tools > Columbia > Tool Sets & Kits,171.0
SBCASEM,Columbia Sabre Blade Case (Medium),simple,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,91.0
SSB7,"Columbia Sabre Smoothing Blade -  7""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,21.0
SSB10,"Columbia Sabre Smoothing Blade -  10""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,28.0
SSB12,"Columbia Sabre Smoothing Blade -  12""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,34.0
SSB14,"Columbia Sabre Smoothing Blade -  14""",variation,Drywall Finishing Tools > Columbia > Knives & Blades,40.0
